Aasta;Maakond;Kuu;Arv
2013;Põlva maakond;Veebruar;0
2013;Pärnu maakond;Veebruar;14
2013;Rapla maakond;Veebruar;4
2013;Saare maakond;Veebruar;4
2013;Tartu maakond;Veebruar;36
2013;Valga maakond;Veebruar;7
2013;Viljandi maakond;Veebruar;8
2013;Võru maakond;Veebruar;8
2014;Harju maakond;Veebruar;113
2014;..Tallinn;Veebruar;100
2014;Hiiu maakond;Veebruar;1
2014;Ida-Viru maakond;Veebruar;37
2014;Jõgeva maakond;Veebruar;4
2014;Järva maakond;Veebruar;2
2014;Lääne maakond;Veebruar;2
2014;Lääne-Viru maakond;Veebruar;7
2014;Põlva maakond;Veebruar;2
2014;Pärnu maakond;Veebruar;12
2014;Rapla maakond;Veebruar;5
2014;Saare maakond;Veebruar;3
2014;Tartu maakond;Veebruar;29
2014;Valga maakond;Veebruar;2
2014;Viljandi maakond;Veebruar;6
2014;Võru maakond;Veebruar;6
2015;Harju maakond;Veebruar;76
2015;..Tallinn;Veebruar;73
2015;Hiiu maakond;Veebruar;0
2015;Ida-Viru maakond;Veebruar;30
2015;Jõgeva maakond;Veebruar;6
2015;Järva maakond;Veebruar;5
2015;Lääne maakond;Veebruar;4
2015;Lääne-Viru maakond;Veebruar;6
2015;Põlva maakond;Veebruar;1
2015;Pärnu maakond;Veebruar;12
2015;Rapla maakond;Veebruar;3
2015;Saare maakond;Veebruar;2
2015;Tartu maakond;Veebruar;22
2015;Valga maakond;Veebruar;1
2015;Viljandi maakond;Veebruar;5
2015;Võru maakond;Veebruar;1
2016;Harju maakond;Veebruar;122
2016;..Tallinn;Veebruar;120
2016;Hiiu maakond;Veebruar;0
2016;Ida-Viru maakond;Veebruar;36
2016;Jõgeva maakond;Veebruar;5
2016;Järva maakond;Veebruar;5
2016;Lääne maakond;Veebruar;5
2016;Lääne-Viru maakond;Veebruar;11
2016;Põlva maakond;Veebruar;2
2016;Pärnu maakond;Veebruar;13
2016;Rapla maakond;Veebruar;2
2016;Saare maakond;Veebruar;6
2016;Tartu maakond;Veebruar;26
2016;Valga maakond;Veebruar;2
2016;Viljandi maakond;Veebruar;12
2016;Võru maakond;Veebruar;1
2017;Harju maakond;Veebruar;120
2017;..Tallinn;Veebruar;116
2017;Hiiu maakond;Veebruar;2
2017;Ida-Viru maakond;Veebruar;36
2017;Jõgeva maakond;Veebruar;3
2017;Järva maakond;Veebruar;3
2017;Lääne maakond;Veebruar;3
2017;Lääne-Viru maakond;Veebruar;12
2017;Põlva maakond;Veebruar;4
2017;Pärnu maakond;Veebruar;15
2017;Rapla maakond;Veebruar;4
2017;Saare maakond;Veebruar;4
2017;Tartu maakond;Veebruar;31
2017;Valga maakond;Veebruar;1
2017;Viljandi maakond;Veebruar;4
2017;Võru maakond;Veebruar;6
2018;Harju maakond;Veebruar;125
2018;..Tallinn;Veebruar;125
2018;Hiiu maakond;Veebruar;1
2018;Ida-Viru maakond;Veebruar;33
2018;Jõgeva maakond;Veebruar;5
2018;Järva maakond;Veebruar;6
2018;Lääne maakond;Veebruar;3
2018;Lääne-Viru maakond;Veebruar;6
2018;Põlva maakond;Veebruar;2
2018;Pärnu maakond;Veebruar;10
2018;Rapla maakond;Veebruar;2
2018;Saare maakond;Veebruar;3
2018;Tartu maakond;Veebruar;23
2018;Valga maakond;Veebruar;0
2018;Viljandi maakond;Veebruar;10
2018;Võru maakond;Veebruar;2
2019;Harju maakond;Veebruar;122
2019;..Tallinn;Veebruar;122
2019;Hiiu maakond;Veebruar;2
2019;Ida-Viru maakond;Veebruar;32
