Aadress	ID
Salutaguse tänav Kohila vald Raplamaa	2046591
Ammuta Kareda vald Järvamaa	2046631
Võle /Toom/ Tiina 1 Võle Haljala vald Lääne-Virumaa	2046632
 1 Lindi Audru vald Pärnumaa	2046635
Õnnesaare Randivälja Tori vald Pärnumaa	2046637
 Kõpu Tõstamaa vald Pärnumaa	2046638
Savi 33 Pärnu Pärnumaa	2046642
Vene tn Viljandi Viljandimaa	2046643
Kagu tn 3 Rakvere Lääne-Virumaa	2046652
Tobraselja Viljandi vald Viljandimaa	2046653
Valga Tõrva Valgamaa	2046657
Marguse Varesmäe Mikitamäe vald Põlvamaa	2046699
Saeselja Poanse Lihula vald Läänemaa	2046713
Kalevi 23a Kantreküla Viljandi Viljandimaa	2046916
Uus-Veeriku tee Ihaste Tartu Tartumaa	2046921
Lassi Vanaussaia Vara vald Tartumaa	2046948
Kodasmaa-Kõlvati tee Soeva Audru vald Pärnumaa	2046965
Merimetsa 80 Pärnu Pärnumaa	2046994
Merimetsa 80 Pärnu Pärnumaa	2046996
Kodasmaa-Kõlvati tee Soeva Audru vald Pärnumaa	2047006
Rehe maja Toomja Kaiu vald Raplamaa	2047023
Rehe maja Toomja Kaiu vald Raplamaa	2047034
Sepama Kaguvere Märjamaa vald Raplamaa	2047037
Sepama Kaguvere Märjamaa vald Raplamaa	2047038
Uhti Ülenurme vald Tartumaa	2047071
Ehitajate 114 Järve Kohtla-Järve Ida-Virumaa	2047079
Õuna 1 Tammelinn Tartu Tartumaa	2047148
Jõe 4 Elva Tartumaa	2047172
Tartu mnt 9 Roela Vinni vald Lääne-Virumaa	2047261
Kooli Leedri Lääne-Saare vald Saaremaa	2047272
Uus 19 Viljandi Viljandimaa	2047277
Tartu mnt Põltsamaa Jõgevamaa	2047288
Köstri Viljandi Viljandimaa	2047291
Õuna 1 Tammelinn Tartu Tartumaa	2047310
Tuletõrje 2 Kohila Kohila vald Raplamaa	2047325
Tuletõrje 2 Kohila Kohila vald Raplamaa	2047337
Puraviku väikekoht Aespa Kohila vald Raplamaa	2047407
Optimisti Aespa Kohila vald Raplamaa	2047412
Ikaruse põik Aespa Kohila vald Raplamaa	2047433
Rehe 64 Viljandi Viljandimaa	2047472
Tiigi . Allika Varbla vald Pärnumaa	2047493
J.Poska 13 Narva-Jõesuu Ida-Virumaa	2047498
Kasteheina 12 Ihaste Tartu Tartumaa	2047502
Marja 26 Jõhvi Jõhvi vald Ida-Virumaa	2047504
Tiigi . Allika Varbla vald Pärnumaa	2047657
Lillemäe tn 10 Lemmatsi Ülenurme vald Tartumaa	2047749
