Aadress	ID
Mere Reiu Tahkuranna vald Pärnumaa	1383809
Lille - armas kodu linna servas Pärnu Pärnumaa	1383810
 5 Pärnu Pärnumaa	1383812
Vana kalurimaja - broneeritud Lindi Audru vald Pärnumaa	1383813
Linnu tee Paikuse Paikuse vald Pärnumaa	1383814
Siinus - nüüd on õige aeg osta Tammiste Sauga vald Pärnumaa	1383815
Paadi tee Lindi Audru vald Pärnumaa	1383816
Auli Pärnu Pärnumaa	1383819
Liu Liu Audru vald Pärnumaa	1383820
Kahlu 7 Kakumäe Haabersti Tallinn Harjumaa	1383821
Lääne tee Merivälja Pirita Tallinn Harjumaa	1383920
Kurekella 40  Laulasmaa Keila vald Harjumaa	1384022
Viitina järve juures Viitina järve juures Ringiste Taheva vald Valgamaa	1384029
Kiiviti järve juuresTaheva v Kiiviti järve juures Ringiste Taheva vald Valgamaa	1384030
 Väägvere Tartu vald Tartumaa	1384114
Elma Laitse Kernu vald Harjumaa	1384308
Külitse tee Tartu Tartumaa	1384341
Reval 420 000krooni Kiisa Saku vald Harjumaa	1384750
Nurmiku tee 6 Haabneeme Viimsi vald Harjumaa	1384757
Tammelinn Tartu Tartumaa	1384760
Kauri * Kose vald Harjumaa	1384828
Lodjapuu tee 15 Karla Rae vald Harjumaa	1384836
Paidra Paidra Lasva vald Võrumaa	1384874
Vahtramäe tee 5 Üksnurme Saku vald Harjumaa	1385062
Tüki-Üleoja 10 Tähtvere Tähtvere vald Tartumaa	1385093
Külavahe tee 3 Randvere Viimsi vald Harjumaa	1385312
Salu tee 10  Tartu Tartumaa	1385384
Sõpruse tn 28 Ahtme Kohtla-Järve Ida-Virumaa	1385517
Tamme 3a Raasiku Raasiku vald Harjumaa	1385635
Lembitu 34 Türi Türi vald Järvamaa	1385699
Kanepi Vahi küla Raadi-Kruusamäe Tartu Tartumaa	1385791
Valgemetsa Vastse-Kuuste vald Põlvamaa	1385820
Arturi tn 8 Rae vald Harjumaa	1385844
  Külitse Ülenurme vald Tartumaa	1385996
Kesakanni tee 69 Ihaste Tartu Tartumaa	1386014
Pootsmani Tartu Tartumaa	1386038
Perve 6 Valga Valgamaa	1386195
Rannamõisa tee 16A Haabersti Tallinn Harjumaa	1386211
Tai talu * Mätasselja Lääne-Saare vald Saaremaa	1386222
Krati tee 30 Randvere Viimsi vald Harjumaa	1386223
Väljajüri tee 10 Mäepea Kuusalu vald Harjumaa	1386224
Käopesa 28 Kasemetsa Saku vald Harjumaa	1386358
Roopa 13 Kesklinn Tallinn Harjumaa	1386410
Äntu Väike-Maarja vald Lääne-Virumaa	1386473
Leiu tee 4 Vahi Tartu vald Tartumaa	1386517
Kõrkjas Vääna-Jõesuu Harku vald Harjumaa	1386524
Merihobu põik Meremõisa Keila vald Harjumaa	1386529
Näkineiu tee Meremõisa Keila vald Harjumaa	1386546
Koidutähe Ihaste Tartu Tartumaa	1386606
Roostiku tee 7 Patika Rae vald Harjumaa	1386775
Hundinuia tee 8 Patika Rae vald Harjumaa	1386794
Roostiku tee 5 Patika Rae vald Harjumaa	1386820
Kuremäe tee 6 Patika Rae vald Harjumaa	1386841
Roostiku tee 7 Patika Rae vald Harjumaa	1386863
Aali tee 4 Vahetuseks sobib korter või korterid Kostivere Jõelähtme vald Harjumaa	1387104
Mardi Puliste Pühalepa vald Hiiumaa	1387110
Loigu Rae Rae vald Harjumaa	1387181
Kaera tn 17 Tõrvandi Ülenurme vald Tartumaa	1387194
Männiliiva tee 21 Laiaküla Viimsi vald Harjumaa	1387236
Pärja x Nõmme Tallinn Harjumaa	1387256
Arnika tee 125 Mähe Pirita Tallinn Harjumaa	1387305
Tabasalu Tabasalu Harku vald Harjumaa	1387314
Maasool Kiisa Saku vald Harjumaa	1387335
  Ridaküla Puhja vald Tartumaa	1387364
Tammetõru 17  Saue Harjumaa	1387492
Mäekalda tee 2 Türisalu Harku vald Harjumaa	1387493
Pärnamäe tee * Pirita Tallinn Harjumaa	1387513
Järveääre tee 8 Peetri Rae vald Harjumaa	1387531
Trummi 28A Nõmme Tallinn Harjumaa	1387661
Andrekse 63 Pirita Tallinn Harjumaa	1387798
Kopli Tagamõisa Kihelkonna vald Saaremaa	1387976
Lepa 5 Aespa Kohila vald Raplamaa	1388206
Kellukese 1 Tõrvandi Ülenurme vald Tartumaa	1388226
Kirilase 6 Pirita Tallinn Harjumaa	1388341
Sarapiku 7 Aruküla Raasiku vald Harjumaa	1388348
Kääri tee Lähtse Kiili vald Harjumaa	1388362
Hellenurme Kehra lähedal Paasiku Anija vald Harjumaa	1388403
 1. Söödi Unipiha Nõo vald Tartumaa	1388473
Kannikese tee i 4 Järveküla Rae vald Harjumaa	1388509
Pärnamäe tee 92 Pirita Tallinn Harjumaa	1388673
Lõokese tee Broneeritud Keila-Joa Keila vald Harjumaa	1388844
Pikk 55 Elva Tartumaa	1388891
Türisalu 9 Türisalu Harku vald Harjumaa	1388966
Saare vald Jõgevamaa Saare vald Jõgevamaa Nautrasi Saare vald Jõgevamaa	1389040
Suur-Kaare 54 Pärnamäe Viimsi vald Harjumaa	1389305
Kesk-kaare Pärnamäe Viimsi vald Harjumaa	1389353
Lõosilma 23 Pirita- Kose Pirita Tallinn Harjumaa	1389737
Tüve tn 26  Muraste Harku vald Harjumaa	1389875
Kääri tee 1  Lähtse Kiili vald Harjumaa	1389876
Nabala 11  Nabala Kiili vald Harjumaa	1389877
Perve 6 Valga Valgamaa	1389889
Sädeme 17 Haabersti Tallinn Harjumaa	1389902
Kaunis Lombi Tartu vald Tartumaa	1389985
Perve 6 Valga Valgamaa	1405111
Uus välikäimla Võru vald Võrumaa	1405155
 Kuijõe Lääne-Nigula vald Läänemaa	1405208
 Helgi Viti Harku vald Harjumaa	1405265
Altmäe Nõo vald Tartumaa	1405277
Mäeranna lähedal Suurupi Harku vald Harjumaa	1405428
Uus Mustvee Jõgevamaa	1405456
Raudürdi Maardu Harjumaa	1405472
Oja Uus hind Räpina Räpina vald Põlvamaa	1405555
