"ID";Aadress;Täisaadress;Objekti liik;Tase1 kood;Tase1 nimetus;Tase2 kood;Tase2 nimetus;Tase3 kood;Tase3 nimetus;Tase4 kood;Tase4 nimetus;Tase5 kood;Tase5 nimetus;Tase6 kood;Tase6 nimetus;Tase7 kood;Tase7 nimetus;Tase8 kood;Tase8 nimetus;Koodaadress;ADR ID;L-Est X;L-Est Y;N;E;N (dms);E (dms)
2236464;Loopealse Ülenurme Ülenurme vald Tartumaa;"Tartu maakond, Kambja vald, Ülenurme alevik, Loopealse tn 1";3;79;Tartu maakond;283;Kambja vald;9835;Ülenurme alevik;;;08H5;Loopealse tn;;;2MVL;1;;;792839835000008H500002MVL00000000;2866614;6467928;659762;58,32273;26,72721;"58°19'21.83""";"26°43'37.94"""
2236480;Papli Ridaküla Puhja vald Tartumaa;"Tartu maakond, Elva vald, Ridaküla, Papli";3;79;Tartu maakond;171;Elva vald;6955;Ridaküla;;;;;50OC;Papli;;;;;7917169550000000050OC000000000000;2995177;6470771;642597;58,35417;26,43623;"58°21'15.00""";"26°26'10.41"""
2236558;Koruste Koruste Rõngu vald Tartumaa;"Tartu maakond, Elva vald, Koruste küla, Koruste raamatukogu";3;79;Tartu maakond;171;Elva vald;3457;Koruste küla;;;;;4Z1I;Koruste raamatukogu;;;;;791713457000000004Z1I000000000000;2978637;6445815;628456;58,1346;26,18095;"58°8'4.57""";"26°10'51.44"""
2236560;Vilja tn Võru Võrumaa;"Võru maakond, Võru linn, Vilja tn 1";3;87;Võru maakond;919;Võru linn;;;;;05K0;Vilja tn;;;8CW9;1;;;879190000000005K000008CW900000000;3290438;6416164;678294;57,85129;27,00361;"57°51'4.63""";"27°0'12.99"""
2236561;Ruuve Suure-Veerksu Räpina vald Põlvamaa;"Põlva maakond, Räpina vald, Suure-Veerksu küla, Ruuve";3;64;Põlva maakond;708;Räpina vald;7835;Suure-Veerksu küla;;;;;51MJ;Ruuve;;;;;6470878350000000051MJ000000000000;3176812;6437872;704753;58,03451;27,4675;"58°2'4.24""";"27°28'2.98"""
2236562;Veski tn Tähtvere Tartu Tartumaa;"Tartu maakond, Tartu linn, Tartu linn, Veski tn 1";3;79;Tartu maakond;793;Tartu linn;8151;Tartu linn;;;0T22;Veski tn;;;B6DT;1;;;79793815100000T220000B6DT00000000;3041699;6474597;658483;58,38302;26,70999;"58°22'58.89""";"26°42'35.97"""
2236566;C. R. Jakobsoni tn Viljandi Viljandimaa;"Viljandi maakond, Viljandi linn, C. R. Jakobsoni tn 10";3;84;Viljandi maakond;897;Viljandi linn;;;;;05ET;C. R. Jakobsoni tn;;;3DXF;10;;;848970000000005ET00003DXF00000000;1330474;6470708;593571;58,36684;25,59901;"58°22'0.63""";"25°35'56.42"""
2236568;Ihaste tee Ihaste Tartu Tartumaa;"Tartu maakond, Tartu linn, Tartu linn, Ihaste tee 1";3;79;Tartu maakond;793;Tartu linn;8151;Tartu linn;;;0SUN;Ihaste tee;;;BLD2;1;;;79793815100000SUN0000BLD200000000;3099642;6473557;660989;58,37278;26,75207;"58°22'22.00""";"26°45'7.44"""
2236572;Tuule tn Soinaste Ülenurme vald Tartumaa;"Tartu maakond, Kambja vald, Soinaste küla, Tuule tn 1";3;79;Tartu maakond;283;Kambja vald;7666;Soinaste küla;;;0D99;Tuule tn;;;2UA8;1;;;79283766600000D9900002UA800000000;2870791;6469696;657797;58,3393;26,69491;"58°20'21.50""";"26°41'41.68"""
2236573;Elva Tartumaa;"Tartu maakond, Elva vald";1;79;Tartu maakond;171;Elva vald;;;;;;;;;;;;;791710000000000000000000000000000;2974743;6456199;642048;58,2236;26,41788;"58°13'24.95""";"26°25'4.39"""
