ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress	Aasta
2118397	112000	5	128	Vajab renoveerimist	1976	Tallinna mnt 23 Aruküla Raasiku vald Harjumaa	2013
2118400	70000	3	60	Renoveeritud	1988	Tammiku 9 Uusküla Jõelähtme vald Harjumaa	2013
2118409	123000	4	159.5	Uus	2008	Toomi põik 1 Veskiküla Vasalemma vald Harjumaa	2013
2118423	298000	7	337	Renoveeritud	2004	Läänekaare 12 Nõmme Tallinn Harjumaa	2013
2118554	189000	7	326.4	Renoveeritud	1961	Viljandi mnt. 10 Veeriku Tartu Tartumaa	2013
2118560	299000	4	230	Uus	2001	Nurme tee 24 Haabneeme Viimsi vald Harjumaa	2013
2118564	3e+05	8	387	Valmis	1993	Peenra 10 Saue Harjumaa	2013
2118570	79000	4	64.7	Valmis	1975	Laane tee 10 Leppneeme Viimsi vald Harjumaa	2013
2118581	31000	3	60.5	Valmis	1932	Pikasilla Põdrala vald Valgamaa	2013
2118609	28000	3	76.7	Valmis	1965	Juki Jõune Puurmani vald Jõgevamaa	2013
2118616	23000	3	72.3	Vajab san. remonti	1931	Sõeru talu Kesu Vigala vald Raplamaa	2013
2118628	213000	8	242	Uus	1998	Annuse tee Rohuneeme Viimsi vald Harjumaa	2013
2118642	42000	3	83.3	Valmis	1990	Vahe 2 Valga Valgamaa	2013
2118647	99900	5	168	Valmis	1963	Veski 5 Rakvere Lääne-Virumaa	2013
2118655	27000	5	286.9	Vajab renoveerimist	1912	Meiereimaa Kastna Tõstamaa vald Pärnumaa	2013
2118657	40900	4	80	Vajab renoveerimist	1960	Muru 15 Jõhvi Jõhvi vald Ida-Virumaa	2013
2118668	10550	3	96.7	NA	1918	Saunaoja Koogiste Kehtna vald Raplamaa	2013
2118680	90000	2	80	NA	2007	Kariste 5 Saku vald Harjumaa	2013
2118694	164000	4	173	NA	2006	Roosipõõsa tee 7 Rae vald Harjumaa	2013
2118695	139725	4	123.8	Uus	2011	Vastla Sulupere Rapla vald Raplamaa	2013
2118699	155000	5	143	NA	2005	Väikemetsa tee 6 Kasemetsa Saku vald Harjumaa	2013
2118704	348000	5	NA	NA	2009	Muuluka Neeme Jõelähtme vald Harjumaa	2013
2118705	365000	8	450	Uus	2001	Kase Pirita Tallinn Harjumaa	2013
2118710	85000	2	73	Renoveeritud	2011	Paluülase Maardu Harjumaa	2013
2118763	12000	2	28.7	Vajab renoveerimist	1960	Ambla tee 21 Käravete Ambla vald Järvamaa	2013
2118768	510000	5	260.7	Uus	2010	Pajustiku tee 6 Pirita Tallinn Harjumaa	2013
2118778	65000	NA	241.5	Vajab renoveerimist	1930	Haapsalu mnt 7 Keila Harjumaa	2013
2118798	120000	5	158	NA	1995	Kullerkupu . Märjamaa Märjamaa vald Raplamaa	2013
2118799	180000	4	211	NA	1979	Kivistiku 1 Laagri Saue vald Harjumaa	2013
2118800	180000	4	211	NA	1979	Kivistiku 1 Nõmme Tallinn Harjumaa	2013
2118808	55000	4	140	Valmis	1977	Voore Saare vald Jõgevamaa	2013
2118850	260000	6	190	Renoveeritud	1959	Randvere tee 16 Pirita Tallinn Harjumaa	2013
2118868	79000	4	150	Keskmine	2008	Lasteaia 8 Ardu Kose vald Harjumaa	2013
2118885	85000	5	174.4	NA	2010	Tuuliku 22 Pohla Kernu vald Harjumaa	2013
2118902	26500	3	60	Vajab san. remonti	1985	Vao tee 4 Türisalu Harku vald Harjumaa	2013
2118911	97000	4	126	Uus	2007	Kakumetsa Kakumetsa Luunja vald Tartumaa	2013
2118925	85000	5	197	NA	1999	Elektroni 5 Keila-Joa Keila vald Harjumaa	2013
2118926	199500	4	132.3	NA	2013	Nirgi Laagri Saue vald Harjumaa	2013
2118927	199500	4	132.3	NA	2013	Nõlvaku põik Nõmme Tallinn Harjumaa	2013
2118928	119000	4	110	NA	2013	Kääri tee Lähtse Kiili vald Harjumaa	2013
2118947	33000	3	90	Vajab renoveerimist	1912	Tihase 5 Kibuna Kernu vald Harjumaa	2013
2118948	180000	6	326.3	Uus	2012	Mesika Elva Tartumaa	2013
2118949	180000	6	326.3	Uus	2012	Mesika Käärdi Rõngu vald Tartumaa	2013
2118969	499000	4	213.3	Valmis	2005	Nurme põik Haabneeme Viimsi vald Harjumaa	2013
2118979	146996.79	4	102	Valmis	1951	Anti mere ääres Eisma Vihula vald Lääne-Virumaa	2013
2118986	19900	2	80	Vajab renoveerimist	1938	Savi 33 Pärnu Pärnumaa	2013
2118988	16500	3	88	Valmis	1964	Papli tn Kiviõli Ida-Virumaa	2013
2119006	88000	3	127	Uus	2004	Olevi tee Külitse Ülenurme vald Tartumaa	2013
2119007	88000	3	127	Uus	2004	Olevi tee Tartu Tartumaa	2013
2119013	260000	4	175	NA	2007	Kodusalu tee Tänassilma Saku vald Harjumaa	2013
2119020	41900	3	76	Valmis	2004	Aru Lepplaane Are vald Pärnumaa	2013
2119023	139725	4	123.8	Uus	2011	Vastla Sulupere Rapla vald Raplamaa	2013
2119036	189000	5	123	Valmis	2008	Sädeme Haabersti Tallinn Harjumaa	2013
2119037	99900	4	160	Uus	2008	Kõrgepõllu tee Vana-Võidu Viljandi vald Viljandimaa	2013
2119041	154000	8	290.8	Valmis	1986	Vana-Keila mnt x Saue Harjumaa	2013
2119083	28000	4	96	Valmis	1930	Ergarra .. Ünnaste Vändra vald Pärnumaa	2013
2119085	255000	7	270	Keskmine	1936	sireli Nõmme Tallinn Harjumaa	2013
2119098	88900	6	NA	Keskmine	1960	Tähe 4 Elva Tartumaa	2013
2119136	165000	6	144.8	Valmis	1990	Kraavi Variku Tartu Tartumaa	2013
2119157	227000	5	189	NA	2004	Päevalille tee 54 Maardu Harjumaa	2013
2119159	375000	5	205	Uus	2011	Kallaste tee 12 Pirita Tallinn Harjumaa	2013
2119166	185000	5	150	Uus	2011	Kabrise Haapse Jõelähtme vald Harjumaa	2013
2119167	398000	5	228	Uus	2004	Randvere tee 122 Kasutusluba Pirita Tallinn Harjumaa	2013
2119182	175000	4	160	Uus	2007	Kasteheina 12 Ihaste Tartu Tartumaa	2013
2119202	180000	6	326.3	Uus	2012	Mesika Elva Tartumaa	2013
2119208	240000	5	178	Uus	2011	Hommiku 9 Keila Harjumaa	2013
2119209	120000	3	139	NA	2008	Jaarli tee 8 Tutermaa Harku vald Harjumaa	2013
2119239	199990	3	200	NA	2008	Mäe tee 13 Lohusalu Keila vald Harjumaa	2013
2119245	124999	4	159	Renoveeritud	1988	Põhja-Käesalu Laulasmaa Keila vald Harjumaa	2013
2119247	234000	9	237	NA	2008	Salu tee Haabneeme Viimsi vald Harjumaa	2013
2119256	159500	5	184	NA	1997	Raja Kuressaare Saaremaa Kuressaare Saaremaa	2013
2119261	225000	5	174.1	Uus	2002	Kose tee 28 Pirita Tallinn Harjumaa	2013
2119284	50000	4	80	Vajab renoveerimist	1962	Väänikvere tee 5 Laeva Laeva vald Tartumaa	2013
2119288	16000	NA	272.7	NA	1870	Siimu Ihamaru Kõlleste vald Põlvamaa	2013
2119289	59500	4	135	NA	1936	Vääniku Väänikvere Laeva vald Tartumaa	2013
2119290	145000	6	140	NA	2004	Rähni Külitse Ülenurme vald Tartumaa	2013
2119296	74900	4	205	Valmis	1989	Rehe Viljandi Viljandimaa	2013
2119308	260000	6	190	Renoveeritud	1959	Randvere tee 16 Pirita Tallinn Harjumaa	2013
2119314	84000	5	181.2	San. remont tehtud	1999	Lepa Haapsalu Läänemaa	2013
2119324	32000	3	185	Vajab renoveerimist	1923	Vaariku 2a Võiste Tahkuranna vald Pärnumaa	2013
2119336	147200	6	NA	Keskmine	1997	Ristiku talu Saue vald Harjumaa	2013
2119345	55000	2	NA	Keskmine	1958	 49 Õpetaja Haapsalu Läänemaa	2013
2119355	99000	4	186.4	Vajab renoveerimist	1975	Peedu 3 Tammelinn Tartu Tartumaa	2013
2119383	310000	NA	115	NA	2013	Lõhe 6 Haabersti Tallinn Harjumaa	2013
2119384	25000	2	45	Valmis	1997	Tammiku 53 Kilksama Sauga vald Pärnumaa	2013
2119404	29500	5	256.2	Vajab renoveerimist	1939	Rehe maja Toomja Kaiu vald Raplamaa	2013
2119405	29500	5	256.2	Vajab renoveerimist	1939	Rehe maja Toomja Kaiu vald Raplamaa	2013
2119406	29500	5	256.2	Vajab renoveerimist	1939	Rehe maja Toomja Kaiu vald Raplamaa	2013
2119408	163000	4	131.9	Uus	2008	Kopra põik 2 Järveküla Rae vald Harjumaa	2013
2119410	290000	8	450	Renoveeritud	2001	Kase 6a Pirita Tallinn Harjumaa	2013
2119412	370000	6	231	Uus	2008	Linnase tee Pärnamäe Viimsi vald Harjumaa	2013
2119455	298000	7	337	Renoveeritud	2004	Läänekaare 12 Nõmme Tallinn Harjumaa	2013
2119476	139000	6	270	Valmis	1996	Hälli põik 10 Haabersti Tallinn Harjumaa	2013
2119488	95000	5	219.4	Uus	2009	Kurevere Sangaste vald Valgamaa	2013
2119494	45000	NA	125	NA	2010	Salumetsa Pilka Luunja vald Tartumaa	2013
2119517	119000	7	277	Valmis	2006	Talu tee 7 Tõrvandi Ülenurme vald Tartumaa	2013
2119570	104000	5	145.2	Vajab renoveerimist	1957	Riia  Tammelinn Tartu Tartumaa	2013
2119639	1e+05	NA	1118.6	Vajab renoveerimist	1914	Tuletõrje 2 Elva Tartumaa	2013
2119640	45000	NA	988.3	Vajab renoveerimist	1907	Tuletõrje 4 Elva Tartumaa	2013
2119641	125000	6	140.6	NA	2009	Heiniku 1 Papsaare Audru vald Pärnumaa	2013
2119646	31900	3	34.3	Valmis	1987	Aasa 20 Kabila Kernu vald Harjumaa	2013
2119649	51000	4	185.6	Vajab san. remonti	1972	Oru 4 Rakvere Lääne-Virumaa	2013
2119650	450000	5	380	Uus	2010	Kuubi 2 Muraste Harku vald Harjumaa	2013
2119651	158000	5	151	Uus	2006	Kannikese tee Järveküla Rae vald Harjumaa	2013
2119653	26000	4	NA	Renoveeritud	1950	  Avanduse Väike-Maarja vald Lääne-Virumaa	2013
