ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress.x	Aasta	Maakond	Täisaadress	Objekti.liik	Tase1.kood	Tase1.nimetus	Tase2.kood	Tase2.nimetus	Tase3.kood	Tase3.nimetus	Tase4.kood	Tase4.nimetus	Tase5.kood	Tase5.nimetus	Tase6.kood	Tase6.nimetus	Tase7.kood	Tase7.nimetus	Tase8.kood	Tase8.nimetus	Koodaadress	ADR.ID	L.Est.X	L.Est.Y	N	E	N..dms.	E..dms.
2205013	36000	4	120.9	Valmis	1966	Pargi 10 Sindi Pärnumaa	2013	Pärnumaa	Pärnu maakond, Tori vald, Sindi linn, Pargi tn 10	3	68	Pärnu maakond	809	Tori vald	7607	Sindi linn			0TH1	Pargi tn			BTHW	10			68809760700000TH10000BTHW00000000	3399481	6473375	537657	58,39918	24,64405	58°23'57.04"	24°38'38.58"
2205019	125000	6	215.4	Uus	2010	Rabaküla Surju vald Pärnumaa	2013	Pärnumaa	Pärnu maakond, Saarde vald, Rabaküla	1	68	Pärnu maakond	712	Saarde vald	6705	Rabaküla											687126705000000000000000000000000	2908413	6457787	538472	58,25916	24,65538	58°15'32.96"	24°39'19.38"
2205032	84000	5	130	Vajab renoveerimist	2000	Paju 10 Kohila Kohila vald Raplamaa	2013	Raplamaa	Rapla maakond, Kohila vald, Kohila alev, Paju tn 10	3	71	Rapla maakond	317	Kohila vald	3268	Kohila alev			02R4	Paju tn			1FY8	10			713173268000002R400001FY800000000	3319786	6557830	543429	59,15682	24,75911	59°9'24.56"	24°45'32.78"
2205037	39900	3	NA	Vajab renoveerimist	1970	Sulevi 6 Võru Võrumaa	2013	Võrumaa	Võru maakond, Võru linn, Sulevi tn 6	3	87	Võru maakond	919	Võru linn					05HS	Sulevi tn			27II	6			879190000000005HS000027II00000000	3251762	6414923	678729	57,83998	27,00999	57°50'23.93"	27°0'35.96"
2205070	78000	6	178.3	Valmis	1990	Laadi tee 18 Uulu Tahkuranna vald Pärnumaa	2013	Pärnumaa	Pärnu maakond, Häädemeeste vald, Uulu küla, Laadi tee 18	3	68	Pärnu maakond	214	Häädemeeste vald	8779	Uulu küla			0OZI	Laadi tee			9KHZ	18			68214877900000OZI00009KHZ00000000	2922766	6459950	534490	58,27891	24,58787	58°16'44.07"	24°35'16.35"
2205091	25000	3	281	NA	1890	Alatskivi vald Tartumaa	2013	Tartumaa	Tartu maakond, Peipsiääre vald, Alatskivi alevik	1	79	Tartu maakond	586	Peipsiääre vald	1181	Alatskivi alevik											795861181000000000000000000000000	2822929	6499385	681933	58,59621	27,1302	58°35'46.34"	27°7'48.73"
2205110	59800	4	96	Keskmine	1990	Põripõllu küla vambo talu Orissaare vald Saaremaa	2013	Saaremaa	Rapla maakond, Kehtna vald, Põllu küla	1	71	Rapla maakond	293	Kehtna vald	6530	Põllu küla											712936530000000000000000000000000	3158048	6523245	555589	58,84496	24,96295	58°50'41.85"	24°57'46.62"
2205153	72500	4	214.4	Valmis	1981	Rohu Türi Türi vald Järvamaa	2013	Järvamaa	Järva maakond, Türi vald, Türi linn, Rohu tn 1	3	52	Järva maakond	834	Türi vald	8594	Türi linn			0UGZ	Rohu tn			CJD7	1			52834859400000UGZ0000CJD700000000	3530882	6519429	582913	58,80632	25,43474	58°48'22.75"	25°26'5.06"
2205170	12000	13	270.9	Vajab renoveerimist	1970	Aravete Ambla vald Järvamaa	2013	Järvamaa	Järva maakond, Järva vald, Aravete alevik	1	52	Järva maakond	255	Järva vald	1326	Aravete alevik											522551326000000000000000000000000	2569729	6558041	600599	59,14909	25,75816	59°8'56.71"	25°45'29.39"
2205190	169000	4	136.3	Uus	2013	Paruni  25 Ülenurme Ülenurme vald Tartumaa	2013	Tartumaa	Tartu maakond, Kambja vald, Ülenurme alevik, Paruni tn 25	3	79	Tartu maakond	283	Kambja vald	9835	Ülenurme alevik			0B05	Paruni tn			2VQ3	25			79283983500000B0500002VQ300000000	2857708	6466612	659849	58,31089	26,72778	58°18'39.21"	26°43'39.99"
