Sisend ID;PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor;Täisaadress;Kvaliteet;Objekti liik;Koodaadress;L-Est X;L-Est Y;N;E;N (dms);E (dms)
46;Rootsi langev;Rootsi;H;langev;A;O;1;18;1;45442;0,000396109;50,22505303;Rapla maakond, Kohila vald, Rootsi küla;Leiti aadress, üks objekti vaste;1;713177085000000000000000000000000;6556826;542637;59.14789;24.74507;"59°8'52.40""";"24°44'42.25"""
47;vene tapetud;vene;G;tapetud;A;O;1;6;3;45442;0,000396109;50,22505303;Lääne-Viru maakond, Vinni vald, Venevere küla;Leiti aadress, üks objekti vaste;1;609019204000000000000000000000000;6544575;655117;59.012;26.70065;"59°0'43.19""";"26°42'2.34"""
48;Pihkva kuulus;Pihkva;H;kuulus;A;O;1;2;9;45442;0,000396109;50,22505303;Jõgeva maakond, Mustvee vald, Mustvee linn, Pihkva tn;Leiti aadress, üks objekti vaste;2;50486509700000TFB0000000000000000;6525779;670109;58.83774;26.94698;"58°50'15.85""";"26°56'49.11"""
49;Rootsi kogutud;Rootsi;H;kogutud;A;O;1;18;1;45442;0,000396109;50,22505303;Rapla maakond, Kohila vald, Rootsi küla;Leiti aadress, üks objekti vaste;1;713177085000000000000000000000000;6556826;542637;59.14789;24.74507;"59°8'52.40""";"24°44'42.25"""
50;Rootsi visanud;Rootsi;H;visanud;A;O;1;18;1;45442;0,000396109;50,22505303;Rapla maakond, Kohila vald, Rootsi küla;Leiti aadress, üks objekti vaste;1;713177085000000000000000000000000;6556826;542637;59.14789;24.74507;"59°8'52.40""";"24°44'42.25"""
51;Lasna praegune;Lasna;H;praegune;A;O;2;8;9;45442;0,001584437;50,20515053;Harju maakond, Tallinn, Lasnamäe linnaosa;Leiti aadress, üks objekti vaste;1;377840387000000000000000000000000;6588567;546772;59.43236;24.82413;"59°25'56.51""";"24°49'26.88"""
52;Poola imelik;Poola;H;imelik;A;O;2;3;25;45442;0,001650456;49,18917547;Tartu maakond, Elva vald, Neemisküla, Poola;Leiti aadress, üks objekti vaste;3;791715393000000000B8R000000000000;6463948;627511;58.2976;26.1749;"58°17'51.35""";"26°10'29.64"""
53;Rootsi-Saksa sügav;Rootsi-Saksa;H;sügav;A;O;1;1;20;45442;0,000440121;47,64557104;;Aadressi ei leitud;;;;;;;;
54;Eesti kardetud;Eesti;H;kardetud;A;O;1;21;1;45442;0,000462128;46,49629258;Viljandi maakond, Viljandi vald, Lalsi küla, Eesti;Leiti aadress, üks objekti vaste;3;848994088000000000KQV000000000000;6483669;618200;58.47719;26.02634;"58°28'37.89""";"26°1'34.84"""
55;Eesti korrapäraline;Eesti;H;korrapäraline;A;O;1;21;1;45442;0,000462128;46,49629258;Viljandi maakond, Viljandi vald, Lalsi küla, Eesti;Leiti aadress, üks objekti vaste;3;848994088000000000KQV000000000000;6483669;618200;58.47719;26.02634;"58°28'37.89""";"26°1'34.84"""
56;Eesti punapõseline;Eesti;H;punapõseline;A;O;1;21;1;45442;0,000462128;46,49629258;Viljandi maakond, Viljandi vald, Lalsi küla, Eesti;Leiti aadress, üks objekti vaste;3;848994088000000000KQV000000000000;6483669;618200;58.47719;26.02634;"58°28'37.89""";"26°1'34.84"""
57;Eesti lällitav;Eesti;H;lällitav;A;O;1;21;1;45442;0,000462128;46,49629258;Viljandi maakond, Viljandi vald, Lalsi küla, Eesti;Leiti aadress, üks objekti vaste;3;848994088000000000KQV000000000000;6483669;618200;58.47719;26.02634;"58°28'37.89""";"26°1'34.84"""
58;Läti paras;Läti;H;paras;A;O;1;2;11;45442;0,000484134;45,42626926;Rapla maakond, Märjamaa vald, Läti küla;Leiti aadress, üks objekti vaste;1;715024647000000000000000000000000;6514129;512587;58.76651;24.21754;"58°45'59.45""";"24°13'3.15"""
59;Moskva nägus;Moskva;H;nägus;A;O;1;11;2;45442;0,000484134;45,42626926;Võru maakond, Setomaa vald, Mokra küla, Moskva;Leiti aadress, üks objekti vaste;3;877324970000000000QCV000000000000;6394885;701108;57.65073;27.36934;"57°39'2.61""";"27°22'9.61"""
60;Lõuna-Liivi kindel;Lõuna-Liivi;H;kindel;A;O;1;1;23;45442;0,00050614;44,42678963;;Aadressi ei leitud;;;;;;;;
61;Lasna olev;Lasna;H;olev;A;O;1;8;3;45442;0,000528146;43,49042647;Harju maakond, Tallinn, Lasnamäe linnaosa;Leiti aadress, üks objekti vaste;1;377840387000000000000000000000000;6588567;546772;59.43236;24.82413;"59°25'56.51""";"24°49'26.88"""
62;vene seisev;vene;G;seisev;A;O;1;6;4;45442;0,000528146;43,49042647;Lääne-Viru maakond, Vinni vald, Venevere küla;Leiti aadress, üks objekti vaste;1;609019204000000000000000000000000;6544575;655117;59.012;26.70065;"59°0'43.19""";"26°42'2.34"""
63;Lääs tunginud;Lääs;H;tunginud;A;O;1;3;8;45442;0,000528146;43,49042647;Harju maakond, Raasiku vald, Järsi küla, Alajaama 1;Ajalooline aadress, leiti uus kehtiv vaste;3;376512335000000009GER000000000000;6580928;559549;59.3622;25.04713;"59°21'43.92""";"25°2'49.68"""
