id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_MNIMI	Added geom info_MKOOD	Added geom info_xcoord	Added geom info_ycoord
"21352"	"1889"	NULL	NULL		Perekonna- ja pärimisasjad	Tartu	Võnnu	Ahja	"1815"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"22919"	"1881"	"10"	"29"	"727"	Töö- ja teenistussuhted	Tartu	Kodavere	Alatskivi	"415"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19123"	"1865"	"10"	"9"	"28"	Töö- ja teenistussuhted	Saare	Kihelkonna	Kotlandi	"1251"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"18949"	"1887"	"6"	"5"	"55"	Kahjutasu	Tartu	Võnnu	Ahja	"933"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"21353"	"1889"	"11"	"10"	"284"	Laenud ja võlanõuded	Tartu	Võnnu	Ahja	"307"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18496"	"1864"	"5"	"8"		Varavastased kuriteod	Tartu	Kodavere	Pala	"916"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"20404"	"1880"	"6"	"10"	"6"	Vallakohtu asjaajamine ja haldustoimingud 	Lääne	Kullamaa	Käända	"241"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"18792"	"1874"	"3"	"18"		Laenud ja võlanõuded	Lääne	Pühalepa	Kassari	"174"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"16985"	"1884"	"7"	"13"	"151"	Varavastased kuriteod	Tartu	Võnnu	Ahja	"796"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17000"	"1884"	"7"	"20"	"167"	Sõim ja vägivald	Tartu	Võnnu	Ahja	"934"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17556"	"1868"	"10"	"19"		Kahjutasu	Harju	Juuru	Juuru	"547"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"24577"	"1866"	"4"	"18"		Töö- ja teenistussuhted	Tartu	Võnnu	Kiidjärve	"1446"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"20405"	"1880"	"7"	"14"	"7"	Vallakohtu asjaajamine ja haldustoimingud 	Lääne	Kullamaa	Käända	"251"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"20803"	"1905"	"2"	"4"	"1"	Varalised tehingud	Järva	Türi	Väätsa	"1413"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"16988"	"1884"	"7"	"13"	"154"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"1292"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18793"	"1873"	"5"	"16"		NULL	Harju	Kose	Triigi	"160"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"18950"	"1871"	"6"	"22"	"75"	NULL	Tartu	Torma	Avinurme	"447"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19629"	"1888"	"6"	"10"	"98"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"934"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18794"	"1873"	"7"	"7"	"7"	Töö- ja teenistussuhted	Harju	Kose	Triigi	"616"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"16989"	"1884"	"7"	"13"	"155"	Laenud ja võlanõuded	Tartu	Võnnu	Ahja	"471"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18493"	"1857"	"3"	"1"	"31"	"Varalised tehingud; Töö- ja teenistussuhted; Laenud ja võlanõuded"	Tartu	Kodavere	Alatskivi	"1001"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18951"	"1887"	"6"	"5"	"56"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"1105"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"21354"	"1889"	"11"	"10"	"285"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"524"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"16990"	"1884"	"7"	"13"	"156"	Kahjutasu	Tartu	Võnnu	Ahja	"625"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
