id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters
8667	1867	3	29		Perekonna- ja pärimisasjad	Harju	Keila	Harku	761
9175	1883	11	7		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	144
10144	1879	3	6	13	Laenud ja võlanõuded	Võru	Rõuge	Saaluse	1826
18698	1873	4	19		NULL	Harju	Kose	Triigi	191
1410	1889	9	28	9	Kahjutasu	Harju	Hageri	Kohila	598
9480	1836	7	25		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.; Kahjutasu	Viljandi	Paistu	Holstre	834
9176	1883	12	5		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	145
9304	1888	1	1	1	Perekonna- ja pärimisasjad	Lääne	Kullamaa	Piirsalu	838
16530	1861	5	13	15	NULL	Saare	Kihelkonna	Kotlandi	70
1418	1889	10	14	10	Kahjutasu	Harju	Hageri	Kohila	600
1839	1871	2	16	3	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	20
9484	1879	11	13	348	Muud üleastumised	Tartu	Kodavere	Alatskivi	1179
10366	1882	6	26	25	Muud üleastumised	Viru	Haljala	Vihula	411
10488	1870	8	6	11	Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Harju	Hageri	Kohila	292
10146	1867	3	27	6	Töö- ja teenistussuhted	Järva	Türi	Särevere	437
7628	1878	10	26	47	NULL	Pärnu	Audru	Võlla	1448
8678	1881	6	25	14	Töö- ja teenistussuhted	Harju	Juuru	Kaiu	2632
8692	1886	3	1	5	Riiklikud, kiriklikud ja kogukondlikud koormised; Töö- ja teenistussuhted	Järva	Türi	Särevere	477
1420	1889	10	14	10	Kahjutasu	Harju	Hageri	Kohila	642
1840	1871	3	9	4	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	61
11324	1848	5	15	39	Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	980
8696	1877	10	25	37	NULL	Võru	Rõuge	Saaluse	1476
8721	1854	3	15	45	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	225
8864	1888	9	26	117	Muud üleastumised	Võru	Räpina	Kahkva	152
8899	1854	10	13		NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	203
8938	1854	11	3		NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	66
1421	1889	10	28	11	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	37
1841	1871	3	31	5	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	61
8695	1834	7	23		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Viljandi	Paistu	Holstre	557
8698	1877	10	25	38	NULL	Võru	Rõuge	Saaluse	1014
10147	1879	3	20	14	Laenud ja võlanõuded	Võru	Rõuge	Saaluse	1023
1424	1889	12	9	13	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	29
1846	1871	5	4	7	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	60
10367	1882	7	3	26	NULL	Viru	Haljala	Vihula	139
10453	1872	1	11	2	Töö- ja teenistussuhted; Laenud ja võlanõuded	Tartu	Võnnu	Ahja	521
8701	1835	4	27		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Viljandi	Paistu	Holstre	1274
10148	1867	3	29	7	Varavastased kuriteod	Järva	Türi	Särevere	355
1426	1890	1	27	1	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	142
9377	1855	5	2		Töö- ja teenistussuhted	Viljandi	Põltsamaa	Uue-Põltsamaa	587
13390	1881	11	20		Laenud ja võlanõuded	Tartu	Võnnu	Ahja	449
9492	1881	NULL	NULL		Sõim ja vägivald	Lääne	Kullamaa	Piirsalu	1190
1848	1871	5	19	8	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	14
8702	1877	10	25	39	NULL	Võru	Rõuge	Saaluse	1477
14815	1890	4	27	13	Riiklikud, kiriklikud ja kogukondlikud koormised	Lääne	Vormsi	Vormsi	461
8645	1867	10	20	212	NULL	Tartu	Kambja	Haaslava	941
8865	1854	9	6	80	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	413
1849	1871	10	12	12	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	42
2206	1875	1	11	1	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	61
10368	1882	7	10	27	NULL	Viru	Haljala	Vihula	139
9178	1879	1	8	1	NULL	Viru	Haljala	Vihula	140
9384	1879	12	17	45	NULL	Viru	Haljala	Vihula	140
8703	1835	5	11		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Viljandi	Paistu	Holstre	1518
8706	1877	11	22	40	NULL	Võru	Rõuge	Saaluse	1129
8722	1854	3	22	46	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	482
8939	1863	3	13	8	Varavastased kuriteod	Tartu	Torma	Avinurme	106
8900	1877	11	7		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	147
1850	1871	11	1	13	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	60
11481	1885	6	4	143	Laenud ja võlanõuded	Tartu	Otepää	Pühajärve	711
10149	1867	5	6	8	Sõim ja vägivald	Järva	Türi	Särevere	350
8729	1854	3	29	51	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	506
8723	1854	3	22	47	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	225
8744	1854	4	26	63	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	547
7181	1884	4	19	79	NULL	Viljandi	Kõpu	Suure-Kõpu	448
8745	1854	4	28	64	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	330
8940	1854	11	3		NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	148
9177	1883	12	22	1	Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. ; Varavastased kuriteod	Järva	Türi	Särevere	1862
14242	1857	6	7	5	Varavastased kuriteod	Tartu	Kodavere	Ranna	1510
1852	1871	12	17	15	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	58
2231	1875	10	4	16	Varavastased kuriteod	Harju	Hageri	Kohila	598
2632	1882	2	25	3	Kahjutasu	Harju	Hageri	Kohila	677
16531	1861	5	20	16	Vallakohtu asjaajamine ja haldustoimingud 	Saare	Kihelkonna	Kotlandi	266
8724	1854	3	22	48	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	533
8731	1854	3	29	52	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	316
