id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_KOOD	Added geom info_MAAKOND	Added geom info_KUBERMANG	Added geom info_xcoord	Added geom info_ycoord
"24022"	"1879"	"3"	"3"	"6"	Perekonna- ja pärimisasjad	Järva	Türi	Kirna	"526"	d97192	Järva	Eestimaa	581053.656070628	6521624.13897247
"14279"	"1868"	"5"	"19"		Vallakohtu asjaajamine ja haldustoimingud 	Pärnu	Pärnu-Jaagupi	Soosalu	"99"	d97163	Pärnu	Liivimaa	533021.929412686	6497014.59673544
"14616"	"1888"	NULL	NULL		Vallakohtu asjaajamine ja haldustoimingud 	Tartu	Rõngu	Aakre	"62"	d97179	Tartu	Liivimaa	631479.266685926	6444153.29787797
"10704"	"1876"	"11"	"17"	"49"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Maarja-Magdaleena	Jõe	"6834"	d97150	Tartu	Liivimaa	664889.980319882	6497435.46837665
"7888"	"1876"	"6"	"18"		Laenud ja võlanõuded	Tartu	Kodavere	Alatskivi	"1049"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12109"	"1885"	"10"	"18"	"257"	Laenud ja võlanõuded	Pärnu	Halliste	Penuja	"296"	d97110	Pärnu	Liivimaa	578199.541828338	6447181.72644882
"11265"	"1842"	"2"	"8"	"65"	Varavastased kuriteod	Tartu	Kodavere	Ranna	"79"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13301"	"1880"	"10"	"24"	"96"	Vallakohtu asjaajamine ja haldustoimingud 	Võru	Vastseliina	Misso	"879"					
"11973"	"1885"	"4"	"25"	"46"	Laenud ja võlanõuded	Pärnu	Tori	Sindi	"492"	d97189	Pärnu	Liivimaa	547959.632139925	6478515.38020337
"11988"	"1876"	"10"	"27"	"46"	Määratlemata	Tartu	Maarja-Magdaleena	Jõe	"709"	d97150	Tartu	Liivimaa	664889.980319882	6497435.46837665
"11846"	"1856"	"3"	"5"		Laenud ja võlanõuded	Viljandi	Põltsamaa	Uue-Põltsamaa	"550"	d97167	Viljandi	Liivimaa	619399.898861013	6505119.79985203
"13246"	"1880"	"10"	"10"	"89"	Muud üleastumised	Võru	Vastseliina	Misso	"461"					
"14280"	"1908"	"3"	"26"	"2"	Määratlemata	Tartu	Torma	Võtikvere	"148"	d97190	Tartu	Liivimaa	664084.411596915	6529980.61375847
"18726"	"1897"	"3"	"14"	"3"	"Varalised tehingud; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Järva	Türi	Väätsa	"3110"	d97192	Järva	Eestimaa	581053.656070628	6521624.13897247
"12904"	"1856"	"8"	"24"	"56"	"Varalised tehingud; Kahjutasu; Laenud ja võlanõuded; Varavastased kuriteod; Muud üleastumised"	Tartu	Kodavere	Alatskivi	"740"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13076"	"1880"	"12"	"4"	"562"	"Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. ; Varavastased kuriteod"	Tartu	Kodavere	Alatskivi	"1781"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13233"	"1866"	"8"	"26"	"70"	"Vallakohtu asjaajamine ja haldustoimingud ; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Võnnu	Ahja	"1098"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"13586"	"1881"	"1"	"29"	"593"	Laenud ja võlanõuded	Tartu	Kodavere	Alatskivi	"374"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"19949"	"1876"	"11"	"5"	"11"	Vallakohtu asjaajamine ja haldustoimingud 	Lääne	Kullamaa	Käända	"241"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"11974"	"1885"	"5"	"8"	"47"	Laenud ja võlanõuded	Pärnu	Tori	Sindi	"713"	d97189	Pärnu	Liivimaa	547959.632139925	6478515.38020337
"11977"	"1856"	"3"	"15"		NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	"314"	d97167	Viljandi	Liivimaa	619399.898861013	6505119.79985203
"12905"	"1850"	"6"	"4"		Laenud ja võlanõuded	Tartu	Kodavere	Ranna	"269"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13459"	"1887"	"1"	"16"	"15"	NULL	Võru	Vastseliina	Misso	"1002"					
"13484"	"1881"	"1"	"15"	"577"	Laenud ja võlanõuded	Tartu	Kodavere	Alatskivi	"632"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13509"	"1887"	"1"	"30"	"22"	NULL	Võru	Vastseliina	Misso	"606"					
"11976"	"1856"	"3"	"11"		"Riiklikud, kiriklikud ja kogukondlikud koormised"	Viljandi	Põltsamaa	Uue-Põltsamaa	"676"	d97167	Viljandi	Liivimaa	619399.898861013	6505119.79985203
"19951"	"1877"	"1"	"3"		Vallakohtu asjaajamine ja haldustoimingud 	Lääne	Kullamaa	Käända	"60"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"12568"	"1876"	"6"	"18"		Kahjutasu	Tartu	Kodavere	Alatskivi	"481"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13486"	"1881"	"1"	"15"	"578"	Laenud ja võlanõuded	Tartu	Kodavere	Alatskivi	"239"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13460"	"1887"	"1"	"16"	"16"	NULL	Võru	Vastseliina	Misso	"815"					
"14859"	"1830"	"2"	"22"		Perekonna- ja pärimisasjad	Tartu	Rõngu	Aakre	"1025"	d97179	Tartu	Liivimaa	631479.266685926	6444153.29787797
"13584"	"1881"	"1"	"29"	"591"	Laenud ja võlanõuded	Tartu	Kodavere	Alatskivi	"271"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12821"	"1856"	"11"	"22"		NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	"1081"	d97167	Viljandi	Liivimaa	619399.898861013	6505119.79985203
"13080"	"1867"	"3"	"30"		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Võru	Räpina	Räpina	"1348"	d97174	Võru	Liivimaa	699441.264460731	6445131.29728697
"12571"	"1876"	"6"	"18"		"Sõim ja vägivald; Kahjutasu"	Tartu	Kodavere	Alatskivi	"1359"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13251"	"1856"	"11"	"23"	"95"	Perekonna- ja pärimisasjad	Tartu	Kodavere	Alatskivi	"2829"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"18924"	"1887"	"6"	"5"	"50"	Kahjutasu	Tartu	Võnnu	Ahja	"819"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"16548"	"1885"	"12"	"9"	"23"	Määratlemata	Lääne	Kullamaa	Piirsalu	"322"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"11987"	"1881"	"5"	"27"	"26"	Sõim ja vägivald	Võru	Põlva	Kiuma	"1690"	d97168	Võru	Liivimaa	682892.830410343	6434294.26803686
"11989"	"1876"	"12"	"15"	"53"	Kahjutasu	Tartu	Maarja-Magdaleena	Jõe	"853"	d97150	Tartu	Liivimaa	664889.980319882	6497435.46837665
"11591"	"1880"	"9"	"11"	"520"	Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. 	Tartu	Kodavere	Alatskivi	"723"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"11993"	"1880"	"9"	"25"	"521"	Varavastased kuriteod	Tartu	Kodavere	Alatskivi	"659"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"11588"	"1880"	"9"	"11"	"519"	Perekonna- ja pärimisasjad	Tartu	Kodavere	Alatskivi	"693"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"11992"	"1881"	"5"	"27"	"28"	Sõim ja vägivald	Võru	Põlva	Kiuma	"2135"	d97168	Võru	Liivimaa	682892.830410343	6434294.26803686
"12824"	"1876"	"12"	"2"	"50"	Sõim ja vägivald	Tartu	Maarja-Magdaleena	Jõe	"1937"	d97150	Tartu	Liivimaa	664889.980319882	6497435.46837665
"13302"	"1880"	"11"	"7"	"97"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Võru	Vastseliina	Misso	"680"					
"11997"	"1873"	"3"	"2"	"20"	Vallakohtu asjaajamine ja haldustoimingud 	Tartu	Võnnu	Ahja	"1685"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"14455"	"1909"	"8"	"3"	"101"	Perekonna- ja pärimisasjad	Lääne	Kullamaa	Piirsalu	"869"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"10413"	"1867"	"3"	"4"		NULL	Viru	Haljala	Vihula	"549"	d97109	Viru	Eestimaa	623528.186256397	6596545.33069456
"8123"	"1871"	"2"	"4"	"7"	Laenud ja võlanõuded	Tartu	Võnnu	Ahja	"363"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"11829"	"1873"	"1"	"26"	"10"	Sõim ja vägivald	Tartu	Võnnu	Ahja	"3770"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"693"	"1856"	"4"	"6"	"17"	"Perekonna- ja pärimisasjad; Varalised tehingud"	Tartu	Kodavere	Alatskivi	"1886"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"19952"	"1877"	"1"	"13"	"1"	Vallakohtu asjaajamine ja haldustoimingud 	Lääne	Kullamaa	Käända	"248"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"11996"	"1877"	"4"	"12"	"19"	Perekonna- ja pärimisasjad	Tartu	Võnnu	Ahja	"811"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"11995"	"1873"	"5"	"3"	"18"	"Perekonna- ja pärimisasjad; Määratlemata"	Tartu	Võnnu	Ahja	"969"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"12907"	"1895"	"1"	"2"	"42"	Perekonna- ja pärimisasjad	Lääne	Kullamaa	Piirsalu	"1122"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"687"	"1856"	"3"	"16"	"12"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Kodavere	Alatskivi	"243"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"21327"	"1889"	"10"	"27"	"267"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.; Laenud ja võlanõuded"	Tartu	Võnnu	Ahja	"646"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"12001"	"1879"	"4"	"14"		Määratlemata	Lääne	Martna	Martna	"485"	d97152	Haapsalu	Eestimaa	492335.303597346	6521392.22820013
"11771"	"1887"	"7"	"25"		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Harju	Keila	Keila	"466"	d97135	Harju	Eestimaa	525841.120598664	6578101.06091372
"14281"	"1858"	"3"	"15"	"5"	Varavastased kuriteod	Tartu	Kodavere	Ranna	"2249"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12003"	"1869"	"1"	"17"	"1"	"Varalised tehingud; Sõim ja vägivald"	Järva	Järva-Jaani	Einmanni	"1472"	d97119	Järva	Eestimaa	609854.595864574	6547460.4743589
"669"	"1856"	"3"	"3"	"9"	"Sõim ja vägivald; Kahjutasu"	Tartu	Kodavere	Alatskivi	"110"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
