Aasta;Maakond;Juhendaja_haridus;Arv
2016;Jõgeva maakond;Keskeriharidus;5
2016;Järva maakond;Keskeriharidus;5
2016;Lääne maakond;Keskeriharidus;11
2016;Lääne-Viru maakond;Keskeriharidus;36
2016;Põlva maakond;Keskeriharidus;13
2016;Pärnu maakond;Keskeriharidus;18
2016;Rapla maakond;Keskeriharidus;18
2016;Saare maakond;Keskeriharidus;12
2016;Tartu maakond;Keskeriharidus;26
2016;Valga maakond;Keskeriharidus;1
2016;Viljandi maakond;Keskeriharidus;15
2016;Võru maakond;Keskeriharidus;27
2017;Harju maakond;Keskeriharidus;21
2017;Hiiu maakond;Keskeriharidus;5
2017;Ida-Viru maakond;Keskeriharidus;6
2017;Jõgeva maakond;Keskeriharidus;5
2017;Järva maakond;Keskeriharidus;6
2017;Lääne maakond;Keskeriharidus;11
2017;Lääne-Viru maakond;Keskeriharidus;39
2017;Põlva maakond;Keskeriharidus;13
2017;Pärnu maakond;Keskeriharidus;18
2017;Rapla maakond;Keskeriharidus;18
2017;Saare maakond;Keskeriharidus;29
2017;Tartu maakond;Keskeriharidus;26
2017;Valga maakond;Keskeriharidus;2
2017;Viljandi maakond;Keskeriharidus;21
2017;Võru maakond;Keskeriharidus;38
2018;Harju maakond;Keskeriharidus;21
2018;Hiiu maakond;Keskeriharidus;4
2018;Ida-Viru maakond;Keskeriharidus;6
2018;Jõgeva maakond;Keskeriharidus;5
2018;Järva maakond;Keskeriharidus;4
2018;Lääne maakond;Keskeriharidus;11
2018;Lääne-Viru maakond;Keskeriharidus;38
2018;Põlva maakond;Keskeriharidus;10
2018;Pärnu maakond;Keskeriharidus;16
2018;Rapla maakond;Keskeriharidus;18
2018;Saare maakond;Keskeriharidus;29
2018;Tartu maakond;Keskeriharidus;25
2018;Valga maakond;Keskeriharidus;1
2018;Viljandi maakond;Keskeriharidus;21
2018;Võru maakond;Keskeriharidus;39
2019;Harju maakond;Keskeriharidus;20
2019;Hiiu maakond;Keskeriharidus;4
2019;Ida-Viru maakond;Keskeriharidus;6
2019;Jõgeva maakond;Keskeriharidus;5
2019;Järva maakond;Keskeriharidus;4
2019;Lääne maakond;Keskeriharidus;11
2019;Lääne-Viru maakond;Keskeriharidus;33
2019;Põlva maakond;Keskeriharidus;10
2019;Pärnu maakond;Keskeriharidus;15
2019;Rapla maakond;Keskeriharidus;20
2019;Saare maakond;Keskeriharidus;22
2019;Tartu maakond;Keskeriharidus;23
2019;Valga maakond;Keskeriharidus;1
2019;Viljandi maakond;Keskeriharidus;21
2019;Võru maakond;Keskeriharidus;39
2008;Harju maakond;Kutseharidus;5
2008;Hiiu maakond;Kutseharidus;4
2008;Ida-Viru maakond;Kutseharidus;1
2008;Jõgeva maakond;Kutseharidus;0
2008;Järva maakond;Kutseharidus;0
2008;Lääne maakond;Kutseharidus;5
2008;Lääne-Viru maakond;Kutseharidus;4
2008;Põlva maakond;Kutseharidus;1
2008;Pärnu maakond;Kutseharidus;4
2008;Rapla maakond;Kutseharidus;5
2008;Saare maakond;Kutseharidus;0
2008;Tartu maakond;Kutseharidus;0
2008;Valga maakond;Kutseharidus;0
2008;Viljandi maakond;Kutseharidus;3
2008;Võru maakond;Kutseharidus;2
2009;Harju maakond;Kutseharidus;0
2009;Hiiu maakond;Kutseharidus;1
2009;Ida-Viru maakond;Kutseharidus;0
2009;Jõgeva maakond;Kutseharidus;0
2009;Järva maakond;Kutseharidus;0
2009;Lääne maakond;Kutseharidus;0
2009;Lääne-Viru maakond;Kutseharidus;0
2009;Põlva maakond;Kutseharidus;0
2009;Pärnu maakond;Kutseharidus;0
2009;Rapla maakond;Kutseharidus;2
2009;Saare maakond;Kutseharidus;2
2009;Tartu maakond;Kutseharidus;0
2009;Valga maakond;Kutseharidus;0
2009;Viljandi maakond;Kutseharidus;0
2009;Võru maakond;Kutseharidus;1
2010;Harju maakond;Kutseharidus;0
2010;Hiiu maakond;Kutseharidus;0
2010;Ida-Viru maakond;Kutseharidus;0
2010;Jõgeva maakond;Kutseharidus;0
2010;Järva maakond;Kutseharidus;0
2010;Lääne maakond;Kutseharidus;0
2010;Lääne-Viru maakond;Kutseharidus;0
2010;Põlva maakond;Kutseharidus;0
2010;Pärnu maakond;Kutseharidus;0
2010;Rapla maakond;Kutseharidus;0
2010;Saare maakond;Kutseharidus;0
2010;Tartu maakond;Kutseharidus;0
2010;Valga maakond;Kutseharidus;0
2010;Viljandi maakond;Kutseharidus;0
2010;Võru maakond;Kutseharidus;0
2011;Harju maakond;Kutseharidus;0
2011;Hiiu maakond;Kutseharidus;0
