"Aasta","Maakond","Tulud riigieelarvest","Tulud kohaliku omavalitsuse eelarvest","Kulud kokku","Tööjõukulud","Komplekteerimiskulud","Investeeringud põhivarasse"
"2016","Lääne maakond",100.81,590.13,699.00,415.27,122.96,9.01
"2016","Lääne-Viru maakond",167.74,1544.52,1698.72,1087.24,272.43,54.31
"2016","Põlva maakond",109.86,929.65,1055.73,570.63,198.83,12.83
"2016","Pärnu maakond",206.31,1513.05,1720.38,1048.49,343.25,21.60
"2016","Rapla maakond",116.02,993.89,1154.76,673.76,202.55,51.36
"2016","Saare maakond",115.20,763.71,913.93,572.47,160.32,42.46
"2016","Tartu maakond",279.56,2562.09,2902.40,1774.79,513.43,82.97
"2016","Valga maakond",109.58,630.22,742.91,474.56,138.39,14.46
"2016","Viljandi maakond",141.69,1115.68,1277.84,756.48,235.88,10.02
"2016","Võru maakond",115.43,838.14,967.42,661.31,181.28,0.00
"2017","Harju maakond",712.58,5872.48,6746.44,3922.31,1289.42,89.08
"2017","..Tallinn",435.70,3034.00,3630.50,2119.30,725.30,0.00
"2017","Hiiu maakond",48.74,220.53,273.12,169.83,52.03,3.50
"2017","Ida-Viru maakond",319.89,2414.35,2753.10,1777.37,390.08,53.54
"2017","Jõgeva maakond",180.86,782.35,1030.15,610.62,167.81,0.00
"2017","Järva maakond",121.88,753.90,886.59,488.86,138.40,73.21
"2017","Lääne maakond",129.86,599.97,746.44,457.88,126.32,2.00
"2017","Lääne-Viru maakond",175.81,1575.27,1724.83,1112.38,282.69,78.16
"2017","Põlva maakond",131.07,1132.66,1570.90,619.63,202.74,352.68
"2017","Pärnu maakond",217.69,1596.22,1814.86,1112.87,349.05,41.84
"2017","Rapla maakond",127.23,1038.96,1170.53,725.42,212.63,11.33
"2017","Saare maakond",126.78,914.98,1047.20,585.50,165.80,113.57
"2017","Tartu maakond",322.21,2692.09,3086.34,1885.56,526.41,54.53
"2017","Valga maakond",121.08,805.58,927.60,519.28,142.03,120.51
"2017","Viljandi maakond",150.59,1185.04,1358.83,794.57,243.30,9.54
"2017","Võru maakond",134.98,877.41,1012.76,695.34,190.14,0.00
"2018","Harju maakond",739.11,6648.27,7565.00,4604.98,1330.41,134.47
"2018","..Tallinn",441.30,3578.10,4198.10,2559.00,750.70,107.60
"2018","Hiiu maakond",55.73,226.28,297.38,185.07,54.18,5.82
"2018","Ida-Viru maakond",327.23,2387.70,2750.92,1882.23,382.73,19.79
"2018","Jõgeva maakond",183.99,816.91,1012.50,660.02,159.50,20.01
"2018","Järva maakond",135.73,848.45,990.31,543.22,155.57,0.00
"2018","Lääne maakond",120.96,529.57,648.78,432.55,102.26,0.00
"2018","Lääne-Viru maakond",193.32,1785.54,1956.63,1224.01,294.78,242.17
"2018","Põlva maakond",145.63,995.64,1143.97,626.17,188.10,27.88
"2018","Pärnu maakond",241.05,1998.63,2241.45,1317.14,387.70,143.66
"2018","Rapla maakond",143.54,1050.13,1194.89,775.18,214.00,0.67
"2018","Saare maakond",139.93,894.38,1038.68,665.47,177.98,0.00
"2018","Tartu maakond",312.79,3065.84,3453.75,2155.07,555.57,46.30
"2018","Valga maakond",144.43,691.01,827.08,545.77,132.95,0.00
"2018","Viljandi maakond",169.53,1170.16,1360.38,834.15,245.56,6.90
"2018","Võru maakond",146.22,1004.11,1161.73,763.00,214.37,0.00
"2019","Harju maakond",720.08,8361.54,9093.62,5036.73,1362.48,978.27
"2019","..Tallinn",409.00,4063.50,4484.00,2777.60,752.30,176.90
"2019","Hiiu maakond",62.84,243.31,315.75,191.94,56.06,10.25
"2019","Ida-Viru maakond",328.52,2512.45,2685.66,1993.10,400.11,9.98
"2019","Jõgeva maakond",188.06,877.93,1076.71,673.92,171.31,7.00
"2019","Järva maakond",146.38,857.34,1010.40,594.93,167.11,0.00
"2019","Lääne maakond",128.19,530.81,659.00,437.95,112.56,2.32
"2019","Lääne-Viru maakond",201.02,1874.64,2061.41,1310.13,308.27,223.78
"2019","Põlva maakond",139.04,935.38,1080.45,659.39,188.88,17.35
"2019","Pärnu maakond",259.55,2041.60,2302.95,1438.77,390.89,107.20
"2019","Rapla maakond",152.02,1163.50,1321.42,871.35,213.68,2.25
"2019","Saare maakond",148.55,884.42,1036.85,664.21,213.10,0.00
"2019","Tartu maakond",345.58,3315.86,3744.63,2295.03,583.12,128.10
"2019","Valga maakond",139.47,718.00,847.40,581.03,125.43,0.00
"2019","Viljandi maakond",184.18,1254.01,1456.24,878.48,249.43,2.31
"2019","Võru maakond",152.19,1042.06,1216.12,829.74,221.47,0.00
