koht	pealkiri	aasta	žanr
Uus-Kiislova (Põlvamaa)	Cogito, ergo sum	1989	Dokumentaalfilm
Uus-Sadama tänav (Tallinn)	Üleujutus Tuukri tänaval	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Uusjõgi	Endla	1985	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Uusna (Viljandimaa)	Kombaini katsetamine	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Uusna (Viljandimaa)	Karjakasvatuse sovhoos Uusna	1948	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Uvarovo (Venemaa)	Afanassi	2005	Dokumentaalfilm, Olukirjeldusfilm
Uvängstropi küla, Skaraborgi maakond (Rootsi)	Maailmalaager Metsakodu	1975	Amatöörfilm, Kroonika
Vabaduse plats (Tallinn)	Sea aasta	2021	Dokumentaalfilm
Vabaduse plats (Tallinn)	Leonhard Lapin. Protsess	2020	Dokumentaalfilm, Portreefilm
Vabaduse plats (Tallinn)	Kodumaa karjed	2019	Dokumentaalfilm
Vabaduse plats (Tallinn)	Need, kes julgevad	2015	Dokumentaalfilm
Vabaduse plats (Tallinn)	Tants vanakuradi vanaemaga	2015	Dokumentaalfilm
Vabaduse plats (Tallinn)	Heino Eller. Quinta Essentia	2013	Dokumentaalfilm, Portreefilm, Muusikadokumentaal
Vabaduse plats (Tallinn)	Rist ja viletsus	2013	Dokumentaalfilm, Olukirjeldusfilm
Vabaduse plats (Tallinn)	Velosoofid	2013	Dokumentaalfilm, Olukirjeldusfilm
Vabaduse plats (Tallinn)	Armud jäänud, armud tulnud	2012	Dokumentaalfilm
Vabaduse plats (Tallinn)	Hingevalvur	2012	Dokumentaalfilm, Portreefilm
Vabaduse plats (Viljandi)	Viljandi Õhuasjanduse Ühingu angaari avamine ja lennupäev	1932	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vabaduse puiestee (Nõmme)	Loomad linnas	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabaduse puiestee (Nõmme)	Teedeminister avab eeskujuliku tee	1937	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Vabaduse puiestee (Tartu)	Arnold Matteus	1981	Dokumentaalfilm, Portreefilm
Vabaduse puiestee (Tartu)	Tartu rindesõprade päev	1972	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabaduse puiestee (Tartu)	Juubelilaulupidu Tartus	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabaduse puiestik (park Tartus)	Tartu Toomemägi ja all-linn 1989	1989	Amatöörfilm, Kroonika
Vabaduse väljak (Pärnu)	Kaunis traditsioon. President süütab Võidutule	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vabaduse väljak (Tallinn)	Leonhard Lapin. Protsess	2020	Dokumentaalfilm, Portreefilm
Vabaduse väljak (Tallinn)	Kodumaa karjed	2019	Dokumentaalfilm
Vabaduse väljak (Tallinn)	Pagulasega elutoas	2017	Dokumentaalfilm
Vabaduse väljak (Tallinn)	Täideviija	2017	Dokumentaalfilm, Portreefilm
Vabaduse väljak (Tallinn)	Kirjaniku elu	2014	Dokumentaalfilm, Portreefilm
Vabaduse väljak (Tallinn)	Okupeeri oma müür	2013	Dokumentaalfilm, Probleemfilm
Vabaduse väljak (Tallinn)	Tiiu Kirsipuu. Edu kood	2012	Dokumentaalfilm, Portreefilm
Vabaduse väljak (Tallinn)	Ma elasin Eesti Vabariigis	2010	Dokumentaalfilm, Olukirjeldusfilm
Vabaduse väljak (Tallinn)	Seal, kus lõpeb luule	2009	Dokumentaalfilm, Olukirjeldusfilm
Vabaduse väljak (Tallinn)	Siima Škopi muinasjutuline maailm	2009	Dokumentaalfilm, Portreefilm
Vabadussõja tammik	Kirjanike ringreis Põhja-Eesti tööstuskeskustes	1938	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vabadusväli (Pärnu)	Isamaaline päev Pärnus	1936	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vabastajate Väljak (Tallinn)	Mälestusvalve	1981	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabastajate Väljak (Tallinn)	Juubelisünnipäev	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabastajate Väljak (Tallinn)	Kodumaa ei unusta oma vabastajaid	1947	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabastajate Väljak (Tallinn)	Nemad elavad edasi meie südames	1947	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabastajate Väljak (Tallinn)	Tallinna vabastamisel langenuile	1947	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabastajate Väljak (Tallinn)	Igavene kuulsus kangelastele!	1946	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vabriku tänav (Tallinn)	Jagada või mitte jagada	2019	Dokumentaalfilm
Vabriku tänav (Tallinn)	Heinz Valk	2014	Dokumentaalfilm, Portreefilm
Vabriku tänav (Tallinn)	Pensioni kojukanne	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vadjamaa (Venemaa)	Vana meloodia	1981	Muusikafilm
Vadjamaa (Venemaa)	Linnutee tuuled	1977	Dokumentaalfilm, Antropoloogiafilm
Vadstena (Rootsi)	Raamat - kodu kaunim ehe	1948	Amatöörfilm, Kroonika
Vaeküla (Lääne-Virumaa)	Mais Eesti põldudel	1955	Dokumentaalfilm
Vaeküla (Lääne-Virumaa)	Virumaa maanoorte päev Vaekülas	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vaestepatuste tänav (Tallinn)	Tallinn 1944	1944	Amatöörfilm, Kroonika
Vahase saar	Tuulealused 1	1996	Dokumentaalfilm, Loodusfilm, Probleemfilm
Vahase saar	Kivid ja kadakad	1972	Dokumentaalfilm, Olukirjeldusfilm
Vahemeri	Maroko, Agadir...	1981	Amatöörfilm, Kroonika
Vaida (Harjumaa)	Dog's Tale	2007	Dokumentaalfilm, Tudengifilm
Vaida (Harjumaa)	August Nahkur - Vaida kroonikakirjutaja	1974	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Vaida (Harjumaa)	NSVL Ülemnõukogu valimised	1954	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Vaida (Harjumaa)	Korrastame oma maanteed	1947	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Vaika saared (Vilsandi rahvuspark)	Loodus: kaitse, kasutamine	1985	Populaarteaduslik film
Vaika saared (Vilsandi rahvuspark)	Kindlus meres	1968	Dokumentaalfilm, Loodusfilm, Populaarteaduslik film
Vaikne ookean	Ahto. Unistuste jaht	2018	Dokumentaalfilm
Vaikne ookean	Läbilõikamine	2016	Dokumentaalfilm
Vaikne ookean	Reis ümber maailma 1970	1970	Amatöörfilm, Kroonika
Vaikne ookean	Reis ümber maailma 1966	1966	Amatöörfilm, Kroonika
Vaikne ookean	Reis ümber maailma 1965	1965	Amatöörfilm, Kroonika
Vaikne ookean	Geisrite ja vulkaanide maal	1961	Dokumentaalfilm, Loodusfilm, Muud liigitused, Tellimusfilm
Vaimastvere (Jõgevamaa)	1941. aasta suve sündmused Vaimastveres	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vaindloo saar	Killuke kodumaad	1963	Dokumentaalfilm, Olukirjeldusfilm
Vainikkala (Soome)	Jätkusõja viimased sõdurid	2002	Dokumentaalfilm
Vainupea (Lääne-Virumaa)	Päeva lõpus	2009	Mängufilm, Täispikk mängufilm
Vainupea rand (Vihula vald, Lääne-Virumaa	Peeter	2001	Dokumentaalfilm, Portreefilm
Vainupea rand (Vihula vald, Lääne-Virumaa	Minu Virumaa	1989	Dokumentaalfilm
Vaivara (Ida-Virumaa)	Monument	2008	Dokumentaalfilm
Vaivara (Ida-Virumaa)	Tervitusi Sillamäelt	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vaivara (Ida-Virumaa)	Vaivara masina-traktorijaam ehitab	1954	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vaivara park	Tervitusi Sillamäelt	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vaksali tänav (Tallinn)	Tallinna koolide laulupäev	1927	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Val di Fiemme (Itaalia)	Tiim	2006	Dokumentaalfilm, Olukirjeldusfilm
Valamo (Soome)	Siis sai õhtu ja sai hommik	1989	Dokumentaalfilm, Portreefilm, Muusikadokumentaal
Valaste juga (Ida-Virumaa)	Mare Balticum	1978	Dokumentaalfilm
Valaste juga (Ida-Virumaa)	Jäljed	1963	Mängufilm, Täispikk mängufilm
Valdai (Vene NFSV)	Väikesed kompleksbrigaadid	1958	Populaarteaduslik film, Õppefilm, Tellimusfilm, Muud liigitused
Valdemārpils (Läti)	Koit	2015	Mängufilm, Täispikk mängufilm
Valga	Aasta täis draamat	2019	Dokumentaalfilm
Valga	Seltsimees laps	2018	Mängufilm, Täispikk mängufilm
Valga	Täna mängime sõda	2016	Dokumentaalfilm
Valga	Üksikud	2016	Dokumentaalfilm
Valga	Lihast ja luust	2013	Dokumentaalfilm
Valga	Valga-Tallinn-Valga	2001	Dokumentaalfilm, Probleemfilm
Valga	Valga rajooni sotsiaal-majandusliku arengu probleemidest	1986	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valga	Valga	1984	Dokumentaalfilm
Valga	Kes on kes?	1982	Dokumentaalfilm
Valga	Mäletate?	1975	Dokumentaalfilm
Valga rajoon	Rändaja	1986	Dokumentaalfilm, Portreefilm
Valga rajoon	President	1983	Dokumentaalfilm, Portreefilm
Valga rajoon	Kes on kes?	1982	Dokumentaalfilm
Valga rajoon	Künnimehe väsimus	1982	Dokumentaalfilm, Probleemfilm
Valga rajoon	Neli sammu	1978	Populaarteaduslik film, Õppefilm, Muud liigitused, Tellimusfilm
Valga rajoon	Seaduslikkuse kaitsel	1975	Dokumentaalfilm
Valga rajoon	Orumäe sovhoosis	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valga rajoon	Orumäe sovhoosis	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valga rajoon	Kolhoosipõldudel	1952	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgamaa	Päevad, mis ajasid segadusse	2016	Mängufilm, Täispikk mängufilm
Valgamaa	Keelatud vili	2011	Dokumentaalfilm
Valgamaa	Inemiste piir	2005	Dokumentaalfilm, Olukirjeldusfilm
Valgamaa	Laulatatud hobustega	2004	Dokumentaalfilm, Portreefilm
Valgamaa	Elasime Eestile	1996	Dokumentaalfilm, Portreefilm
Valgamaa	Isand ja ori	1992	Dokumentaalfilm, Probleemfilm
Valgamaa	Exegi monumentum	1987	Dokumentaalfilm
Valgamaa	Exegi monumentum	1985	Dokumentaalfilm
Valgamaa	Siin on mu kodu	1980	Muusikafilm
Valgamaa	Kolhoosi kondiitritsehh	1967	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgejõe (Harjumaa)	Filmitäht Asja harjutab	1960	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgejõgi 	Noorus filmis	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgemetsa (Valgamaa)	Episoode Tartu kunstnike ja kunsti elust	1989	Dokumentaalfilm
Valgemetsa (Valgamaa)	Kirjanik Valmar Adams 85-aastane	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgemetsa (Valgamaa)	Teekond mäe südamesse	1983	Dokumentaalfilm
Valgemetsa (Valgamaa)	Vanda Juhansoo muinasjutumaa	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgemetsa (Valgamaa)	Pioneerisuvi	1952	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgemetsa (Valgamaa)	Valgemetsa pioneerilaagris	1951	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgeranna (Pärnumaa)	Jahid merel	1955	Mängufilm, Täispikk mängufilm
Valgevene	Mees muinasjutust. Toomas Edur	2019	Dokumentaalfilm, Portreefilm
Valgevene	Juured: Poeem armastusest	2018	Dokumentaalfilm
Valgevene	Šuša	2016	Dokumentaalfilm, Portreefilm
Valgevene	Narri põldu üks kord...	1981	Dokumentaalfilm, Probleemfilm
Valgevene	Võsalõikajad uudismaade tarvis	1954	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgjärve (Põlvamaa)	Toonela lind. Must-toonekurg	1997	Dokumentaalfilm, Loodusfilm
Valgjärve (Põlvamaa)	Kooliõpilaste talispordinädal	1985	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valgu (Raplamaa)	Valgu koolimetskond	1975	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valguta (Tartumaa)	Põline rikas?	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valguta (Tartumaa)	Saadikukandidaat Kaljo Erm	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valinga (Saaremaa)	Reporter	1981	Dokumentaalfilm, Portreefilm
Valjala (Saaremaa)	Jagatud valgus	2018	Dokumentaalfilm, Portreefilm
Valjala (Saaremaa)	Teekond mäe südamesse	1983	Dokumentaalfilm
Valjala (Saaremaa)	Valjala kirik	1971	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valjala (Saaremaa)	Suurtalgud Saaremaal	1946	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valka	Valga ja Valka	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valkla (Harjumaa) 	Eric. Tule laps	2009	Dokumentaalfilm, Portreefilm
Valkla (Harjumaa) 	Tšernobõli avariipiirkonna lapsed Valkla pioneerilaagris	1986	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valkla (Harjumaa) 	Eesti - Soome maavõistlus ujumises	1972	Amatöörfilm
Valkla (Harjumaa) 	Valkla pioneerilaagris	1962	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valkla (Harjumaa) 	Matk jahtidel. Tallinna 21. keskkooli õpilaste merematk	1953	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valkla (Harjumaa) 	Külvipinna laiendamise eest	1950	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valkla (Harjumaa) 	Meeskondadevaheline teatesuusatamise võistlus Riigivanema auhinnale Tallinn-Valkla ja tagasi, mille võitis Harju Maleva meeskond	1936	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Valla (Rootsi)	Perekond 43	1976	Amatöörfilm, Kroonika
Valli tänav (Tallinn)	Võitlusest taimede viirushaigustega Eestis	1985	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valli tänav (Tallinn)	Ringreis Eestis mais 1937	1937	Amatöörfilm, Kroonika
Vallikraavi tänav (Tartu)	Tartu Toomemägi ja all-linn 1989	1989	Amatöörfilm, Kroonika
Vallikraavi tänav (Tartu)	Tartu linnas 1989	1989	Amatöörfilm, Kroonika
Vallikraavi tänav (Tartu)	Sport. Jalgratturite tänavasõit Tartus	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vallikraavi tänav (Tartu)	Sport. Korvpallivõistlus Tartus	1962	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Valma (Viljandimaa)	Janne juuksuribuss	2011	Tudengifilm, Dokumentaalfilm
Valtu (Raplamaa)	Kodukotus	1984	Dokumentaalfilm
Valvgatan (Uppsala, Rootsi)	August Sang, Kalju Lepik ja Arvo Mägi Uppsalas 2.01.1968	1968	Amatöörfilm, Kroonika
vana Tallinn	Ajakapslid	2019	Dokumentaalfilm
vana Tartu tänavad	A. H. Tammsaare II	1972	Populaarteaduslik film, Õppefilm
Vana-Irboska (Venemaa)	Riigivanema ja Ülemjuhataja ringsõit Petseri-, Võru- ja Tartumaal	1935	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vana-Kuuste (Tartumaa)	Kaitseliidu tegevust Kaitseliidu päeva puhul Tartus ja ümbruskonnas	1927	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Vana-Mustamäe (Tallinn)	Peaarhitektid	1999	Dokumentaalfilm
Vana-Mustamäe (Tallinn)	10 km patrullsuusatamine politseile	1940	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Vana-Mutiku (Põlvamaa)	Kaplinski süsteem	2011	Dokumentaalfilm, Portreefilm
Vana-Otepää (Valgamaa)	Eduard Vilde nimeline Tallinna Pedagoogiline Instituut	1984	Dokumentaalfilm, Olukirjeldusfilm
Vana-Pärnu vaated	Isamaaline päev Pärnus	1936	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vana-Roosa (Võrumaa)	Orel	1974	Dokumentaalfilm
Vana-Vastseliina (Võrumaa)	Tulevalvajad	2021	Dokumentaalfilm
Vana-Vastseliina (Võrumaa)	Looduse laul	2019	Tudengifilm, Dokumentaalfilm
Vana-Vastseliina (Võrumaa)	Tõde ja õigus	2019	Mängufilm, Täispikk mängufilm
Vana-Vigala (Raplamaa)	Aeg on siin	2010	Dokumentaalfilm
Vana-Vigala (Raplamaa)	Sõjamäng	2008	Dokumentaalfilm, Portreefilm
Vana-Vigala (Raplamaa)	Härra Vene maailm	1981	Dokumentaalfilm, Portreefilm
Vana-Vigala (Raplamaa)	Jõulud Vigalas	1980	Mängufilm, Täispikk mängufilm
Vana-Viru tänav (Tallinn)	Vanalinnastuudio direktor Eino Baskin	1991	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vana-Võidu (Viljandimaa)	Õiglane maa	1978	Dokumentaalfilm, Olukirjeldusfilm
Vanakiriku puiestee (Helsingi, Soome)	Eesti Vabadussõjas langenud Soome vabatahtlikele püstitatud mälestussamba avamine Helsingis	1923	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Vanamõisa (Läänemaa)	Paha lugu: Nõiutud	2018	Mängufilm, Lühimängufilm
Vanaturu kael (Tallinn)	Tallinna kilud	2011	Mängufilm, Lühimängufilm, Muud liigitused
Vanaturu kael (Tallinn)	Peegeldus	2010	Tudengifilm, Lühimängufilm
Vanaturu kael (Tallinn)	Liblikalend	1987	Dokumentaalfilm
Vanaturu kael (Tallinn)	Varandus VII	1987	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vanaturu kael (Tallinn)	Foorum	1976	Dokumentaalfilm, Vaatefilm
Vanaturu kael (Tallinn)	Minu naine sai vanaemaks	1976	Telemängufilm, Täispikk telemängufilm
Vanaturu kael (Tallinn)	Tallinna saladused	1967	Dokumentaalfilm, Vaatefilm
Vanaturu kael (Tallinn)	Ilu argipäev	1965	Dokumentaalfilm, Olukirjeldusfilm
Vanaturu kael (Tallinn)	Rahaloendajad	1960	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vanaturu kael (Tallinn)	Suur töö algab	1944	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vancouver (Kanada)	Okupeeri oma müür	2013	Dokumentaalfilm, Probleemfilm
Vancouver (Kanada)	Trivimi Velliste intervjuu	1988	Amatöörfilm
Vancouver (Kanada)	Trivimi Velliste pressikonverents 3/3	1988	Amatöörfilm, Kroonika
Vanemuise suveaed (Tartu)	Kosmos 68 - Legendid vol 1	2011	Dokumentaalfilm, Muusikadokumentaal
Vanemuise suveaed (Tartu)	A. H. Tammsaare III	1974	Populaarteaduslik film, Õppefilm
Vanemuise tänav (Tartu)	Tartu linnas 1989	1989	Amatöörfilm, Kroonika
Vanemuise tänav (Tartu)	Helene Kullmani mälestussamba avamine Tartus	1973	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vanemuise tänav (Tartu)	Vanemuise teatrihoone	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vanemuise tänav (Tartu)	Teater Vanemuise taastamistööd	1959	Filmikroonika, Muud liigitused, Võttematerjal
Vantaa (Soome)	Leonhard Lapin. Protsess	2020	Dokumentaalfilm, Portreefilm
Vanuatu	Ahto. Unistuste jaht	2018	Dokumentaalfilm
Vao (Järvamaa)	Pagulasega elutoas	2017	Dokumentaalfilm
Vao (Järvamaa)	Remonditööd Vao masina-traktorijaamas	1957	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vara (Tartumaa)	Vabadusristi päev Varal	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vara (Tartumaa)	Aedade annid	1982	Dokumentaalfilm
Varangu (Järvamaa)	Töid kriidikaevanduses Järvamaal	1937	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Varangu (Lääne-Virumaa)	Päeva lõpus	2009	Mängufilm, Täispikk mängufilm
Varbla (Pärnumaa)	Teetööliste kutsevõistlused	1969	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Varesemägi (Lääne-Virumaa)	Kulla hind	1991	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vargamäe (Järvamaa)	Sügisest kevadesse	1980	Dokumentaalfilm, Olukirjeldusfilm
Vargamäe (Järvamaa)	Vargamäe eile, täna, homme	1978	Amatöörfilm
Vargamäe (Järvamaa)	A. H. Tammsaare I	1971	Populaarteaduslik film, Õppefilm
Varjogan (Lääne-Siber, Venemaa)	Juri Vella maailm	2003	Dokumentaalfilm, Antropoloogiafilm
Varnja küla (Tartumaa)	Sääskedest ja inimestest	2019	Dokumentaalfilm, Loodusfilm
Varssavi (Poola)	Love Express	2018	Dokumentaalfilm, Portreefilm
Varssavi (Poola)	Final Cut	2014	Mängufilm, Lühimängufilm
Varssavi (Poola)	Villa Terezy Skupién	1970	Dokumentaalfilm
Varssavi (Poola)	Reportaaž Poolast	1962	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Varssavi (Poola)	Riigivanem Konstantin Päts ravimisel Poolas	1935	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Varstu (Võrumaa)	Kui siit pilvepiirilt…	1970	Dokumentaalfilm, Vaatefilm
Vasalemma (Harjumaa)	Vaarao lapsed	1991	Dokumentaalfilm, Antropoloogiafilm
Vasalemma (Harjumaa)	Esimene koolipäev	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vasalemma (Harjumaa)	Külviks valmis	1946	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vasalemma (Harjumaa)	Lubja põletamine	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vasalemma (Harjumaa)	Töid Murru marmorikaevanduses	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vasaristi oja (Harjumaa)	Ilus on maa	1984	Dokumentaalfilm, Vaatefilm
Vasknarva (Ida-Virumaa)	1000 aastat Venemaa ristimisest	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vasknarva (Ida-Virumaa)	Ristikäik Vasknarvas	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vasknarva (Ida-Virumaa)	Karjalaskmise kombeid Vasknarvas	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vasknarva (Ida-Virumaa)	Piirivalve Narva jaoskond	1937	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vasknarva (Ida-Virumaa)	Talvine päev piiril	1937	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vastse-Antsla (Võrumaa)	Antsla kalakasvandus	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vastse-Kasaritsa (Võrumaa)	Huvirongiga mööda kodumaad	1935	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Vastse-Kuuste (Põlvamaa)	Üksikud	2016	Dokumentaalfilm
Vastse-Kuuste (Põlvamaa)	Potisetod tulevad	2004	Dokumentaalfilm
Vastse-Roosa (Mõniste vald, Võrumaa)	Sõda pärast sõda	2002	Dokumentaalfilm
Vastse-Roosa (Mõniste vald, Võrumaa)	Eesti ja Venemaa vaheline majanduspiir	1990	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vastse-Saaluse (Võrumaa)	Huvirongiga mööda kodumaad	1935	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Vastseliina (Võrumaa)	Islam Eesti südames	2020	Dokumentaalfilm, Portreefilm
Vastseliina (Võrumaa)	Uus päev luuakse idakaares	2008	Dokumentaalfilm, Olukirjeldusfilm
Vastseliina (Võrumaa)	Potisetod tulevad	2004	Dokumentaalfilm
Vastseliina (Võrumaa)	Vahtsõ ilma veere pääl	2004	Dokumentaalfilm
Vastseliina (Võrumaa)	Exegi monumentum	1987	Dokumentaalfilm
Vastseliina (Võrumaa)	Exegi monumentum	1985	Dokumentaalfilm
Vastseliina (Võrumaa)	Kui siit pilvepiirilt…	1970	Dokumentaalfilm, Vaatefilm
Vastseliina (Võrumaa)	Noorus filmis	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vastseliina (Võrumaa)	Saagem tuttavaks! Luuletaja Lehte Hainsalu	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vastseliina rajoon	Vastseliina sovhoosi eksperimentaalne karjafarm	1979	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vasula (Tartumaa)	Partei liige	1970	Dokumentaalfilm, Portreefilm
Vasula (Tartumaa)	Eesti Vabariigi President külaskäigul Tartumaal	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Vatikan (Rooma)	Vello Salo. Igapäevaelu müstika	2018	Dokumentaalfilm, Portreefilm
Vatikan (Rooma)	Allan	2014	Dokumentaalfilm, Portreefilm
Vatikan (Rooma)	Kutse igavesse linna	2003	Dokumentaalfilm, Portreefilm
Vatikan (Rooma)	Arvo Pärt. 24 prelüüdi ühele fuugale	2002	Dokumentaalfilm, Portreefilm, Muusikadokumentaal
Vatikan (Rooma)	Euroopa seminar Roomas 1972	1972	Amatöörfilm, Kroonika
Vatikan (Rooma)	Aasia reis 1964	1964	Amatöörfilm, Kroonika
Vatse-Roosa (Võrumaa)	Tõde ja õigus	2019	Mängufilm, Täispikk mängufilm
Veclaicene (Lätimaa) 	Inemiste piir	2005	Dokumentaalfilm, Olukirjeldusfilm
Vedra (Läänemaa)	Räägitakse, et tomatid armastavad rokkmuusikat	2016	Mängufilm, Lühimängufilm
Velika Hoča küla (Kosovo)	See on see päev	2011	Dokumentaalfilm, Portreefilm
Velikan geiser (Venemaa)	Geisrite ja vulkaanide maal	1961	Dokumentaalfilm, Loodusfilm, Muud liigitused, Tellimusfilm
Velikije-Luki (Venemaa)	Morni mehe monoloogid	1984	Dokumentaalfilm, Portreefilm
Velikije-Luki (Venemaa)	Sõjaveteranid Velikije Lukis	1972	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Velikije-Luki (Venemaa)	Rindeteedel	1967	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Velikije-Luki (Venemaa)	Veteranid Velikije Lukis	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Velikije-Luki (Venemaa)	Mälestussamba avamine Velikije Lukis	1960	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Velikije-Luki (Venemaa)	Eesti Korpuse lahingupaikades	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Velikije-Luki (Venemaa)	Velikije Luki sõpradel külas	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Velikije-Luki (Venemaa)	Nõukogude Eesti piiridel	1944	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Velise (Raplamaa)	Sõda pärast sõda	2002	Dokumentaalfilm
Velise jõgi (Läänemaa)	Sõda pärast sõda	2002	Dokumentaalfilm
Vellavere (Tartumaa)	Taagepera	2019	Dokumentaalfilm, Portreefilm
Vellavere (Tartumaa)	Heinaaeg	1984	Dokumentaalfilm, Probleemfilm
Vellavere (Tartumaa)	Jälle kevad	1982	Dokumentaalfilm, Olukirjeldusfilm
Vellavere (Tartumaa)	Nutriakasvatus Vellavere kolhoosis	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Vendeli (Rootsi)	Üliõpilaste Selts Raimla 3	1974	Amatöörfilm, Kroonika
