koht	pealkiri	aasta	žanr
Albu (Järvamaa)	A. H. Tammsaare II	1972	Populaarteaduslik film, Õppefilm
Albu (Järvamaa)	A. H. Tammsaare I	1971	Populaarteaduslik film, Õppefilm
Albu (Järvamaa)	Töötasu jaotus kolhoosis	1948	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Albu (Järvamaa)	Kirjanik A. H. Tammsaare viimne teekond	1940	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Alexandria (Ameerika Ühendriigid)	Perekond 48	1978	Amatöörfilm, Kroonika
Alghero (Itaalia)	Ott Tänak - The Movie	2019	Dokumentaalfilm, Portreefilm
Alma-Ata (Kasahstan)	Uued horisondid	1981	Dokumentaalfilm
Alma-Ata (Kasahstan)	Kiiruisutamine	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Alma-Ata (Kasahstan)	Ratsapidustused Alma-Atas	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Alpid (Austria)	Imet püüdmas	1996	Dokumentaalfilm, Portreefilm
Alpid (Austria)	Reis Luganosse ja Sankt Moritzisse		 Amatöörfilm, Kroonika | Režissöör: 
Alpid (Prantsusmaa)	Ott Tänak - The Movie	2019	Dokumentaalfilm, Portreefilm
Alpid (Šveits)	Montreali Vikerlased ja skautide laagrid	1970	Amatöörfilm
Alpid (Šveits)	Reis Luganosse ja Sankt Moritzisse		 Amatöörfilm, Kroonika | Režissöör: 
Alpid (Šveits)	Šveitsi reis - Jungfrau I		 Amatöörfilm, Kroonika | Režissöör: 
Alpid (Šveits)	Šveitsi reis - Jungfrau II		 Amatöörfilm, Kroonika | Režissöör: 
Altai krai (Venemaa)	Künnimehe väsimus	1982	Dokumentaalfilm, Probleemfilm
Altai krai (Venemaa)	Veelinnurahvas	1970	Dokumentaalfilm, Antropoloogiafilm
Altai krai (Venemaa)	Kuldsed sarved	1962	Tudengifilm, Dokumentaalfilm
Altaussee (Austria)	Henrik Visnapuu üheteistkümnes kiri	2009	Dokumentaalfilm, Portreefilm
Altja küla (Lääne-Virumaa)	Tulivesi	1994	Mängufilm, Täispikk mängufilm
Altja küla (Lääne-Virumaa)	Altjal 23.06.1990	1990	Amatöörfilm, Kroonika
Altja küla (Lääne-Virumaa)	Jaanilaupäev Altjal 1990	1990	Amatöörfilm, Kroonika
Altja küla (Lääne-Virumaa)	Muistse mere laulud	1988	Muusikafilm, Kontsertfilm
Altja küla (Lääne-Virumaa)	Lahemaa Rahvuspark	1984	Tellimusfilm, Muud liigitused
Altja küla (Lääne-Virumaa)	Lööme lugu lustipilli	1984	Muusikafilm, Kontsertfilm
Altja küla (Lääne-Virumaa)	Eesti Sõprusühing 25-aastane	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Altja küla (Lääne-Virumaa)	Looduse kutse	1983	Dokumentaalfilm, Vaatefilm
Altja küla (Lääne-Virumaa)	Virulased	1982	Tellimusfilm, Muud liigitused
Altja küla (Lääne-Virumaa)	Rannameloodiad	1975	Muusikafilm
Alu (Raplamaa)	Kümme, üheksakümmend	2017	Dokumentaalfilm, Portreefilm
Alu (Raplamaa)	Võidukülvi heaks	1945	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aluksne järv (Läti)	NSV Liidu jääpurjespordi meistrivõistlused	1961	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Alutaguse (Ida-Virumaa)	Habras maailm	2016	Dokumentaalfilm, Loodusfilm
Alutaguse (Ida-Virumaa)	Taassünd	1973	Dokumentaalfilm, Loodusfilm, Probleemfilm, Populaarteaduslik film, Muud liigitused, Tellimusfilm
Alutaguse (Ida-Virumaa)	Keemiatööstuse tooraine Alutaguselt	1971	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Alutaguse (Ida-Virumaa)	Kas tunned maad?	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Alutaguse (Ida-Virumaa)	Suure labida mehed	1962	Dokumentaalfilm
Alutaguse (Ida-Virumaa)	Jõhvi metsapunktis	1957	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Alutaguse (Ida-Virumaa)	Elekter kolhoosidesse	1949	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Alutaguse (Ida-Virumaa)	Metsatöödel	1941	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Alvesta (Rootsi)	Lundi reis 1967	1967	Amatöörfilm, Kroonika
Alvesta (Rootsi)	Lundis 2	1967	Amatöörfilm, Kroonika
Amarante (Portugal)	Ott Tänak - The Movie	2019	Dokumentaalfilm, Portreefilm
Ambla (Järvamaa)	Kodu-käija	2010	Dokumentaalfilm, Portreefilm
Ambla (Järvamaa)	Monument	2008	Dokumentaalfilm
Ambla (Järvamaa)	Voldemar Vaga	1975	Dokumentaalfilm, Portreefilm
Ambla (Järvamaa)	Kanamunade kokkuostmine	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Ameerika sõjaväetsoon (Saksamaa)	Mehed unustatud armeest	2006	Dokumentaalfilm
Ameerika Ühendriigid	Unistus Ameerika tuurist	2021	Dokumentaalfilm, Muusikadokumentaal
Ameerika Ühendriigid	Õnn on teekond	2021	Dokumentaalfilm
Ameerika Ühendriigid	Keelepäästja	2020	Dokumentaalfilm, Portreefilm, Antropoloogiafilm
Ameerika Ühendriigid	Pulmaisa	2020	Dokumentaalfilm
Ameerika Ühendriigid	Matusepäevikud	2019	Dokumentaalfilm
Ameerika Ühendriigid	Sõda igavatele seintele	2019	Dokumentaalfilm
Ameerika Ühendriigid	Taagepera	2019	Dokumentaalfilm, Portreefilm
Ameerika Ühendriigid	Ükssarvik	2019	Mängufilm, Täispikk mängufilm
Ameerika Ühendriigid	Ahto. Unistuste jaht	2018	Dokumentaalfilm
